time,pos1,pos2,vel1,vel2,tau1,tau2,K11,K12,K13,K14,K21,K22,K23,K24,k1,k2
0, 0, 0, 0, 0, 0.630424, 0, -0.0573558, -0.021939, -0.0146638, -0.00823597, 0, 0, 0, 0, -5.43449e-09, 0
0.001, 1.26594e-05, -2.11733e-05, 0.0253186, -0.0423461, 0.624938, 0, -0.0562867, -0.0222534, -0.014439, -0.0081261, 0, 0, 0, 0, -5.22489e-09, 0
0.002, 5.0526e-05, -8.4506e-05, 0.0504136, -0.0843177, 0.619454, 0, -0.0552131, -0.0225672, -0.0142182, -0.00801671, 0, 0, 0, 0, -5.01556e-09, 0
0.003, 0.000113374, -0.000189621, 0.075282, -0.125909, 0.613975, 0, -0.0541353, -0.0228801, -0.0140014, -0.00790781, 0, 0, 0, 0, -4.80652e-09, 0
0.004, 0.000200977, -0.000336134, 0.0999208, -0.167115, 0.608499, 0, -0.0530539, -0.0231921, -0.0137886, -0.00779941, 0, 0, 0, 0, -4.59781e-09, 0
0.005, 0.000313102, -0.000523658, 0.124327, -0.207929, 0.603028, 0, -0.0519693, -0.0235028, -0.0135799, -0.00769151, 0, 0, 0, 0, -4.38944e-09, 0
0.006, 0.000449515, -0.000751799, 0.148497, -0.248347, 0.597563, 0, -0.0508821, -0.0238122, -0.0133753, -0.00758412, 0, 0, 0, 0, -4.18145e-09, 0
0.007, 0.000609981, -0.00102016, 0.17243, -0.288362, 0.592102, 0, -0.0497926, -0.0241201, -0.0131747, -0.00747725, 0, 0, 0, 0, -3.97386e-09, 0
0.008, 0.000794258, -0.00132833, 0.19612, -0.32797, 0.586648, 0, -0.0487014, -0.0244262, -0.0129782, -0.00737089, 0, 0, 0, 0, -3.7667e-09, 0
0.009, 0.0010021, -0.0016759, 0.219567, -0.367166, 0.5812, 0, -0.0476088, -0.0247305, -0.0127858, -0.00726506, 0, 0, 0, 0, -3.56e-09, 0
0.01, 0.00123327, -0.00206246, 0.242767, -0.405944, 0.575759, 0, -0.0465155, -0.0250326, -0.0125974, -0.00715976, 0, 0, 0, 0, -3.35378e-09, 0
0.011, 0.00148752, -0.00248758, 0.265718, -0.444299, 0.570325, 0, -0.0454219, -0.0253326, -0.0124132, -0.00705499, 0, 0, 0, 0, -3.14807e-09, 0
0.012, 0.00176459, -0.00295085, 0.288416, -0.482226, 0.564899, 0, -0.0443283, -0.02563, -0.012233, -0.00695078, 0, 0, 0, 0, -2.94289e-09, 0
0.013, 0.00206423, -0.00345183, 0.310859, -0.519721, 0.559481, 0, -0.0432354, -0.0259249, -0.012057, -0.00684711, 0, 0, 0, 0, -2.73826e-09, 0
0.014, 0.00238618, -0.00399009, 0.333045, -0.556778, 0.554071, 0, -0.0421435, -0.026217, -0.011885, -0.006744, 0, 0, 0, 0, -2.53423e-09, 0
0.015, 0.0027302, -0.00456518, 0.354971, -0.593393, 0.548671, 0, -0.041053, -0.0265061, -0.0117171, -0.00664145, 0, 0, 0, 0, -2.3308e-09, 0
0.016, 0.003096, -0.00517666, 0.376635, -0.629561, 0.543279, 0, -0.0399646, -0.0267921, -0.0115534, -0.00653947, 0, 0, 0, 0, -2.12801e-09, 0
0.017, 0.00348334, -0.00582409, 0.398034, -0.665277, 0.537898, 0, -0.0388786, -0.0270747, -0.0113937, -0.00643806, 0, 0, 0, 0, -1.92587e-09, 0
