time,pos1,vel1,tau1,pos2,vel2,tau2
0.000000000000000000e+00,-2.479591058213159727e-03,-1.593406593406605509e-01,4.959102796544989644e-02,1.907377737087045944e-04,0.000000000000000000e+00,-3.816595964689639686e-03
3.825187683105468750e-03,-2.098115510795750538e-03,0.000000000000000000e+00,-2.672769035177123553e-02,1.907377737087045944e-04,0.000000000000000000e+00,-3.871580525238731748e-03
7.160663604736328125e-03,-2.098115510795750538e-03,0.000000000000000000e+00,4.192014994487180263e-02,1.907377737087045944e-04,0.000000000000000000e+00,-3.913313165924144944e-03
1.049661636352539062e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.190112984396420631e-02,1.907377737087045944e-04,0.000000000000000000e+00,-3.958323447621492526e-03
1.418662071228027344e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.188087403859341168e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.006576499486783939e-03
1.798462867736816406e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.185940851133550938e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.058037434777635351e-03
2.131843566894531250e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.183675906850758269e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.112671352372053446e-03
2.465224266052246094e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.181295133913742051e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.170443338038534037e-03
2.798604965209960938e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.178801077350689785e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.231318466141358557e-03
3.132033348083496094e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.176196264246810619e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.295261800404434442e-03
3.465437889099121094e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.173483203565807320e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.362238395767581087e-03
3.798818588256835938e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.170664386089482922e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.432213299674395493e-03
4.132199287414550781e-02,-1.716639963378341349e-03,0.000000000000000000e+00,-3.461768664038600285e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.505151552907133046e-03
4.465603828430175781e-02,-2.098115510795750538e-03,0.000000000000000000e+00,1.103127920577653132e-01,1.907377737087045944e-04,0.000000000000000000e+00,-4.581018191878213908e-03
4.799056053161621094e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.161598025508082138e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.659778249331881367e-03
5.132436752319335938e-02,-2.098115510795750538e-03,-1.593406593406605509e-01,4.158380720911123568e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.741396755596530808e-03
5.465817451477050781e-02,-1.716639963378341349e-03,0.000000000000000000e+00,-3.474441111735139531e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.825838740538707441e-03
5.799221992492675781e-02,-1.716639963378341349e-03,0.000000000000000000e+00,3.388716657071631083e-02,1.907377737087045944e-04,0.000000000000000000e+00,-4.913069234602272448e-03
6.132602691650390625e-02,-2.098115510795750538e-03,0.000000000000000000e+00,1.101473668063747829e-01,1.907377737087045944e-04,0.000000000000000000e+00,-5.003053269900859835e-03
6.466007232666015625e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.144599403502977758e-02,1.907377737087045944e-04,0.000000000000000000e+00,-5.095755882083056326e-03
6.799387931823730469e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.140937803116526150e-02,1.907377737087045944e-04,0.000000000000000000e+00,-5.191142111185049167e-03
7.132768630981445312e-02,-1.716639963378341349e-03,0.000000000000000000e+00,-3.492316619564640734e-02,1.907377737087045944e-04,0.000000000000000000e+00,-5.289177003584619521e-03
7.466149330139160156e-02,-1.716639963378341349e-03,0.000000000000000000e+00,3.370420169051865922e-02,1.907377737087045944e-04,0.000000000000000000e+00,-5.389825613040311221e-03
7.799553871154785156e-02,-1.716639963378341349e-03,0.000000000000000000e+00,3.366519777529217161e-02,1.907377737087045944e-04,0.000000000000000000e+00,-5.493053001517436695e-03
8.132934570312500000e-02,-1.716639963378341349e-03,0.000000000000000000e+00,3.362544303687539649e-02,1.907377737087045944e-04,0.000000000000000000e+00,-5.598824241737149036e-03
8.466339111328125000e-02,-2.098115510795750538e-03,0.000000000000000000e+00,1.098800692050507372e-01,1.907377737087045944e-04,0.000000000000000000e+00,-5.707104417451777309e-03
8.799719810485839844e-02,-2.098115510795750538e-03,0.000000000000000000e+00,4.117328082624990837e-02,1.907377737087045944e-04,0.000000000000000000e+00,-5.817858625292237663e-03
9.133124351501464844e-02,-1.716639963378341349e-03,0.000000000000000000e+00,-3.516370318020792252e-02,1.907377737087045944e-04,0.000000000000000000e+00,-5.931051976313463786e-03
9.466505050659179688e-02,-1.716639963378341349e-03,0.000000000000000000e+00,3.345935780211914401e-02,1.907377737087045944e-04,0.000000000000000000e+00,-6.046649596669422498e-03
9.799885749816894531e-02,-2.098115510795750538e-03,-1.593406593406605509e-01,1.097112881511976418e-01,1.907377737087045944e-04,0.000000000000000000e+00,-6.164616629726977527e-03
1.013326644897460938e-01,-2.098115510795750538e-03,0.000000000000000000e+00,4.100189014644147617e-02,1.907377737087045944e-04,0.000000000000000000e+00,-6.284918236927426044e-03
1.046664714813232422e-01,-1.716639963378341349e-03,0.000000000000000000e+00,-3.533761809846126811e-02,1.907377737087045944e-04,0.000000000000000000e+00,-6.407519599305278556e-03
1.080002784729003906e-01,-1.716639963378341349e-03,0.000000000000000000e+00,3.328300322301910169e-02,1.907377737087045944e-04,0.000000000000000000e+00,-6.532385918935993199e-03
1.113340854644775391e-01,-1.716639963378341349e-03,0.000000000000000000e+00,3.323746819133607117e-02,1.907377737087045944e-04,0.000000000000000000e+00,-6.659482419948497406e-03
1.146681308746337891e-01,-2.098115510795750538e-03,0.000000000000000000e+00,1.094865052540929251e-01,1.907377737087045944e-04,0.000000000000000000e+00,-6.788774350479183893e-03
1.180019378662109375e-01,-2.098115510795750538e-03,0.000000000000000000e+00,4.077431713096043436e-02,1.907377737087045944e-04,0.000000000000000000e+00,-6.920226983089349318e-03
1.213359832763671875e-01,-1.716639963378341349e-03,0.000000000000000000e+00,-3.556787909378991697e-02,1.907377737087045944e-04,0.000000000000000000e+00,-7.053805617660658528e-03
1.246697902679443359e-01,-1.716639963378341349e-03,0.000000000000000000e+00,3.305015535235430318e-02,1.907377737087045944e-04,0.000000000000000000e+00,-7.189475580631312854e-03
1.280038356781005859e-01,-1.716639963378341349e-03,0.000000000000000000e+00,3.300213351145938473e-02,1.907377737087045944e-04,0.000000000000000000e+00,-7.327202228184608902e-03
