time,pos1,pos2,vel1,vel2,tau1,tau2,meas_pos1,meas_pos2,meas_vel1,meas_vel2
5.499999999999999334e-02,3.232221119296570938e-02,-6.666397619049906076e-02,9.784201690513019134e-01,-2.020475771348707816e+00,0.000000000000000000e+00,-3.746767420520734637e-01,2.748847751483997348e-02,-5.686380524142217729e-02,1.200245022715284993e+00,-1.707151557045796686e+00
5.999999999999999084e-02,3.731246086256923694e-02,-7.697141862470535667e-02,1.017195747653313553e+00,-2.101529855866650198e+00,0.000000000000000000e+00,-4.768033166637359321e-01,3.233915652759664083e-02,-6.690241829594753553e-02,1.037777903765439547e+00,-1.909542703563346766e+00
6.499999999999998834e-02,4.252966078215566353e-02,-8.775266383165680750e-02,1.069159572583759488e+00,-2.209914724870511549e+00,0.000000000000000000e+00,-2.813791275723615537e-01,3.721051100231943798e-02,-7.697205201406012720e-02,9.220056278272059647e-01,-1.579231323753913507e+00
6.999999999999999278e-02,4.792149274068331632e-02,-9.890073345563545060e-02,1.087066662623376700e+00,-2.248296622118838073e+00,0.000000000000000000e+00,-1.586840746044236861e-01,4.235734425388298918e-02,-8.789759382274012212e-02,1.055648067140730006e+00,-2.120215794817698729e+00
7.499999999999999722e-02,5.334691143394092866e-02,-1.101258444142664827e-01,1.082619298066529234e+00,-2.240782129397970390e+00,0.000000000000000000e+00,-1.071871283026837596e-01,4.801348901195452712e-02,-9.902872012481460373e-02,8.719434154070982990e-01,-2.280003925511739915e+00
8.000000000000000167e-02,5.872269042067488481e-02,-1.212573168032649584e-01,1.067232522886382595e+00,-2.210885241658985478e+00,0.000000000000000000e+00,-1.003694377244477853e-01,5.335199416256165839e-02,-1.101972753595317905e-01,1.010140889756920402e+00,-2.456818376304197749e+00
8.500000000000000611e-02,6.401204104914484661e-02,-1.322201251869198346e-01,1.048064443269167034e+00,-2.173349823642314327e+00,0.000000000000000000e+00,-3.257193253282991696e-01,5.866544352369419679e-02,-1.214051788530028930e-01,1.297613291348098219e+00,-2.631176626444037936e+00
9.000000000000001055e-02,6.928685176476037655e-02,-1.431631519831572386e-01,1.061369961947766338e+00,-2.202877899139267903e+00,0.000000000000000000e+00,-2.651894655034942039e-02,6.406242774570793108e-02,-1.321764650942504615e-01,1.027916921678324602e+00,-1.902736772308267099e+00
9.500000000000001499e-02,7.450461788910964223e-02,-1.539995870519793586e-01,1.025333691550114334e+00,-2.130889956408816399e+00,0.000000000000000000e+00,-2.308746065694150251e-01,6.932535552797453038e-02,-1.430933697846151764e-01,9.500331707783739033e-01,-2.495748955037729644e+00
1.000000000000000194e-01,7.961534294035503556e-02,-1.646271484267147200e-01,1.018517538945189038e+00,-2.119254986279160757e+00,0.000000000000000000e+00,-4.139762695536944315e-02,7.458596034384042117e-02,-1.540091725395937305e-01,9.389182008015712899e-01,-1.994139550061629240e+00
1.050000000000000239e-01,8.461245961090409218e-02,-1.750330220726647457e-01,9.799587646178362643e-01,-2.042353624966234626e+00,0.000000000000000000e+00,-3.329328059777095228e-02,7.959886370644339570e-02,-1.644608388818492306e-01,9.400330179957869792e-01,-2.379178797141242807e+00
1.100000000000000283e-01,8.940824067402597386e-02,-1.850371161872146342e-01,9.380104701754796714e-01,-1.958597828320355116e+00,0.000000000000000000e+00,-1.447264235709988800e-01,8.451406308372484688e-02,-1.750324543775029218e-01,6.450156628206669129e-01,-2.135817188051919224e+00
1.150000000000000328e-01,9.403181842818141012e-02,-1.947000975702410097e-01,9.110686222004634738e-01,-1.905890099958871264e+00,0.000000000000000000e+00,-3.295649427708274848e-02,8.942530252722938333e-02,-1.849729187817746867e-01,6.290463252851149489e-01,-1.840446871215081881e+00
1.200000000000000372e-01,9.847299537633143196e-02,-2.040015642420533737e-01,8.651026738652766168e-01,-1.814098114732325628e+00,0.000000000000000000e+00,-1.862520449298384062e-01,9.403611523253391224e-02,-1.947108589238488174e-01,8.886074502361325234e-01,-2.243344088941536807e+00
1.250000000000000278e-01,1.027380127347428812e-01,-2.129549517150604587e-01,8.405833034104738255e-01,-1.766614219988087875e+00,0.000000000000000000e+00,-8.361776741741271113e-02,9.850024310134575245e-02,-2.039313067776006017e-01,1.141993601310569373e+00,-2.075515854249067704e+00
1.300000000000000322e-01,1.068370117561235899e-01,-2.215817098237497229e-01,7.987424832974802102e-01,-1.683541584174174321e+00,0.000000000000000000e+00,-9.697709406257620790e-02,1.026538191938752009e-01,-2.130262465669859606e-01,5.880895747838048582e-01,-1.826101419968845896e+00
1.350000000000000366e-01,1.107278211444065463e-01,-2.297954423200434804e-01,7.573251365977247129e-01,-1.601439204607737032e+00,0.000000000000000000e+00,-4.067156596922649747e-02,1.068481184702383541e-01,-2.216170027807978782e-01,5.600400484892412711e-01,-1.737526681915299243e+00
1.400000000000000411e-01,1.143867622352310043e-01,-2.375478165079380199e-01,7.060318109834846645e-01,-1.499071876063679865e+00,0.000000000000000000e+00,-2.382435810734377379e-01,1.108084039269017773e-01,-2.298268158183947585e-01,4.322022717855908969e-01,-1.722778469118618538e+00
1.450000000000000455e-01,1.178595890410654989e-01,-2.449335533661132491e-01,6.828467028712601472e-01,-1.454717239568728226e+00,0.000000000000000000e+00,-2.088599674094941128e-01,1.143940449924290004e-01,-2.375953141277551695e-01,8.207385823308813722e-01,-1.555767508676806132e+00
1.500000000000000500e-01,1.212018810159351950e-01,-2.520676144166166255e-01,6.538392266583523682e-01,-1.398444369562164225e+00,0.000000000000000000e+00,-3.953879903419398323e-01,1.178061952047958216e-01,-2.448826208953314987e-01,6.708995359331104691e-01,-1.465002360678465898e+00
1.550000000000000544e-01,1.244646030068686932e-01,-2.590554400301379734e-01,6.509817738765998341e-01,-1.396147825143082555e+00,0.000000000000000000e+00,-1.810437109556217727e-02,1.212741376820508643e-01,-2.520302257486653486e-01,9.874786414169425264e-01,-1.246875762014687306e+00
1.600000000000000588e-01,1.275703395931574446e-01,-2.657378599476147296e-01,5.911535749687112373e-01,-1.276501461822956651e+00,0.000000000000000000e+00,-3.697594994617272590e-01,1.242469779127051005e-01,-2.589220230453043725e-01,3.033459451821070019e-01,-1.538136310530725304e+00
1.650000000000000633e-01,1.305034445914782792e-01,-2.720829514871386245e-01,5.818595109363374762e-01,-1.261074776999456137e+00,0.000000000000000000e+00,-3.155997284323792118e-01,1.275361917760494679e-01,-2.657077532641870521e-01,8.843554899702662508e-01,-1.125834418131438586e+00
1.700000000000000677e-01,1.333669203421321836e-01,-2.783033418005843584e-01,5.633229740221324944e-01,-1.226663358536075776e+00,0.000000000000000000e+00,-7.095262505991623003e-02,1.306698630943895212e-01,-2.721884457172866201e-01,1.019429565625760148e+00,-1.286781052833339656e+00
1.750000000000000722e-01,1.360457332457663537e-01,-2.841622241263274673e-01,5.080663853341710334e-01,-1.116616663004180499e+00,0.000000000000000000e+00,-2.832642844533790338e-01,1.331810961412412952e-01,-2.781263845173599369e-01,8.521710556929642522e-01,-1.680321711843195454e+00
1.800000000000000766e-01,1.385232097349106128e-01,-2.896254638578001916e-01,4.827565216386461855e-01,-1.068341098960229330e+00,0.000000000000000000e+00,-2.906840616198029803e-01,1.360387611721038670e-01,-2.840778742563789261e-01,4.431394856945267691e-01,-8.689096459971495934e-01
1.850000000000000810e-01,1.408743543939756093e-01,-2.948478825918701696e-01,4.575429793663224887e-01,-1.020306606680867922e+00,0.000000000000000000e+00,-2.048189635332955949e-01,1.384354927559044990e-01,-2.896297154198895774e-01,7.128389380085186078e-01,-9.701986397350783609e-01
