time, pos1, pos2, vel1, vel2, tau1, tau2, K11, K12, K13, K14, K21, K22, K23, K24, k1, k2
0, 0, 0, 0, 0, 0.614182, 0, -0.00579749, 0.00363369, -0.0149982, -0.00520481, 0, 0, 0, 0, 0.00055925, 0
0.005, 9.82557e-05, -0.000216933, 0.0303483, -0.0573038, 0.650066, 0, -0.00571503, 0.00251291, -0.015074, -0.00528274, 0, 0, 0, 0, 0.000560683, 0
0.01, 0.000247419, -0.000377056, 0.0331131, -0.0201121, 0.68548, 0, -0.00561568, 0.00134863, -0.015168, -0.00535735, 0, 0, 0, 0, 0.00056108, 0
0.015, 0.000437387, -0.00043995, 0.0536574, -0.0430728, 0.720521, 0, -0.0055095, 0.000144608, -0.0152807, -0.00542821, 0, 0, 0, 0, 0.000560427, 0
0.02, 0.000717229, -0.000566876, 0.0625225, -0.0226844, 0.754936, 0, -0.00540675, -0.00109505, -0.0154122, -0.00549491, 0, 0, 0, 0, 0.00055872, 0
0.025, 0.00105838, -0.000645214, 0.08163, -0.035799, 0.788834, 0, -0.00531777, -0.00236591, -0.0155626, -0.00555707, 0, 0, 0, 0, 0.00055595, 0
0.03, 0.00148998, -0.000764992, 0.0936885, -0.021608, 0.821879, 0, -0.00525297, -0.00366323, -0.0157318, -0.00561429, 0, 0, 0, 0, 0.000552118, 0
0.035, 0.00199525, -0.000854685, 0.11022, -0.020678, 0.854314, 0, -0.00522271, -0.00498199, -0.0159196, -0.00566625, 0, 0, 0, 0, 0.000547216, 0
0.04, 0.00258781, -0.000949984, 0.127325, -0.0193553, 0.885752, 0, -0.00523724, -0.00631695, -0.0161255, -0.00571259, 0, 0, 0, 0, 0.000541252, 0
0.045, 0.00327088, -0.00105044, 0.145634, -0.0199617, 0.916276, 0, -0.00530662, -0.00766267, -0.016349, -0.00575303, 0, 0, 0, 0, 0.000534225, 0
0.05, 0.00404845, -0.00115884, 0.164955, -0.0219293, 0.945754, 0, -0.00544068, -0.00901354, -0.0165893, -0.00578728, 0, 0, 0, 0, 0.000526141, 0
0.055, 0.0049243, -0.00127775, 0.185014, -0.0244129, 0.974189, 0, -0.0056489, -0.0103638, -0.0168455, -0.0058151, 0, 0, 0, 0, 0.000517008, 0
0.06, 0.00590188, -0.00140922, 0.205717, -0.027207, 1.0014, 0, -0.00594036, -0.0117078, -0.0171167, -0.00583628, 0, 0, 0, 0, 0.000506835, 0
0.065, 0.00698437, -0.00155499, 0.227021, -0.0303018, 1.02748, 0, -0.0063237, -0.0130394, -0.0174017, -0.00585064, 0, 0, 0, 0, 0.000495632, 0
0.07, 0.00817473, -0.00171683, 0.248898, -0.0337436, 1.05217, 0, -0.00680698, -0.014353, -0.017699, -0.00585804, 0, 0, 0, 0, 0.000483414, 0
0.075, 0.00947577, -0.0018966, 0.271309, -0.0375496, 1.07566, 0, -0.00739772, -0.0156427, -0.0180073, -0.00585835, 0, 0, 0, 0, 0.000470194, 0
0.08, 0.0108901, -0.00209626, 0.294221, -0.041762, 1.09755, 0, -0.00810273, -0.0169028, -0.0183249, -0.00585151, 0, 0, 0, 0, 0.000455992, 0
0.085, 0.01242, -0.00231782, 0.317578, -0.0463626, 1.11813, 0, -0.00892813, -0.0181275, -0.0186501, -0.00583748, 0, 0, 0, 0, 0.000440822, 0
0.09, 0.0140677, -0.0025633, 0.341339, -0.0513689, 1.137, 0, -0.00987926, -0.0193115, -0.0189812, -0.00581624, 0, 0, 0, 0, 0.000424711, 0
0.095, 0.0158351, -0.00283458, 0.365432, -0.0567252, 1.15437, 0, -0.0109606, -0.0204493, -0.019316, -0.00578783, 0, 0, 0, 0, 0.000407676, 0
0.1, 0.0177235, -0.00313335, 0.389797, -0.0623981, 1.17012, 0, -0.0121759, -0.021536, -0.0196527, -0.0057523, 0, 0, 0, 0, 0.000389741, 0
0.105, 0.0197343, -0.00346103, 0.414361, -0.0683175, 1.18412, 0, -0.0135277, -0.0225667, -0.019989, -0.00570975, 0, 0, 0, 0, 0.000370934, 0
0.11, 0.0218681, -0.00381858, 0.439036, -0.0743755, 1.19637, 0, -0.0150178, -0.0235368, -0.0203227, -0.0056603, 0, 0, 0, 0, 0.000351281, 0
0.115, 0.0241254, -0.00420641, 0.463732, -0.0804535, 1.20689, 0, -0.016647, -0.024442, -0.0206517, -0.00560412, 0, 0, 0, 0, 0.00033081, 0
0.12, 0.0265059, -0.00462429, 0.488354, -0.0864168, 1.21557, 0, -0.018415, -0.0252786, -0.0209734, -0.00554137, 0, 0, 0, 0, 0.000309551, 0
0.125, 0.0290091, -0.00507125, 0.512796, -0.0921021, 1.22246, 0, -0.0203204, -0.0260429, -0.0212855, -0.00547228, 0, 0, 0, 0, 0.000287536, 0
0.13, 0.0316338, -0.00554547, 0.536956, -0.097342, 1.22737, 0, -0.0223608, -0.0267318, -0.0215857, -0.00539708, 0, 0, 0, 0, 0.000264799, 0
0.135, 0.0343783, -0.00604422, 0.560711, -0.101932, 1.23032, 0, -0.0245327, -0.0273425, -0.0218714, -0.00531603, 0, 0, 0, 0, 0.000241375, 0
0.14, 0.0372402, -0.00656374, 0.583943, -0.105666, 1.23131, 0, -0.0268313, -0.0278728, -0.0221403, -0.00522941, 0, 0, 0, 0, 0.0002173, 0
