# time, pos1, pos2, vel1, vel2, tau1, tau2, meas_pos1, meas_pos2, meas_vel1, meas_vel2
4.999999999999999584e-02,2.757818643134852393e-02,-5.686899366611033318e-02,9.308024193079490471e-01,-1.921344880534598065e+00,0.000000000000000000e+00,-2.530848629691172524e-01,2.307531221285664264e-02,-4.757588464757429858e-02,8.589896152824005870e-01,-1.570182989086486014e+00
5.499999999999999334e-02,3.228908755122638502e-02,-6.659539667001455887e-02,9.531192312637427611e-01,-1.968336007033276713e+00,0.000000000000000000e+00,-2.904628776186449213e-01,2.757818643134852393e-02,-5.686899366611033318e-02,1.200006720696055629e+00,-2.311779317567931535e+00
5.999999999999999084e-02,3.711976971064945979e-02,-7.657400269247094382e-02,9.786985142425763673e-01,-2.022193188593710556e+00,0.000000000000000000e+00,-2.479669448079196425e-01,3.228908755122638502e-02,-6.659539667001455887e-02,1.019168889004927525e+00,-2.113300354829641847e+00
6.499999999999998834e-02,4.205463681304291018e-02,-8.677341072475398820e-02,9.947909899455266158e-01,-2.056652456013919217e+00,0.000000000000000000e+00,-2.746819501402749664e-01,3.711976971064945979e-02,-7.657400269247094382e-02,6.359624020933685173e-01,-1.991705241335699261e+00
6.999999999999999278e-02,4.707363150422395892e-02,-9.715303924043756922e-02,1.012338768602730532e+00,-2.094259650826609143e+00,0.000000000000000000e+00,-8.117531860012319744e-02,4.205463681304291018e-02,-8.677341072475398820e-02,8.565428139333363111e-01,-2.021569389429412222e+00
7.499999999999999722e-02,5.209706034516820017e-02,-1.075494414135344107e-01,9.966041476370292029e-01,-2.063442044021945421e+00,0.000000000000000000e+00,-2.291559988456406960e-02,4.707363150422395892e-02,-9.715303924043756922e-02,6.958385310697028370e-01,-2.361305507983886720e+00
8.000000000000000167e-02,5.701255665297080139e-02,-1.177318248835657055e-01,9.691931399917983470e-01,-2.008707510702981036e+00,0.000000000000000000e+00,-1.394284250193783270e-01,5.209706034516820017e-02,-1.075494414135344107e-01,6.674689038667735996e-01,-2.439409194646507295e+00
8.500000000000000611e-02,6.183072583140153400e-02,-1.277227332474769605e-01,9.576638290469251524e-01,-1.986832555410652956e+00,0.000000000000000000e+00,-1.153011686836164507e-01,5.701255665297080139e-02,-1.177318248835657055e-01,9.224852345145033716e-01,-2.293952575919363746e+00
9.000000000000001055e-02,6.657571682807929270e-02,-1.375726060669100470e-01,9.399392147666819630e-01,-1.952328328228016385e+00,0.000000000000000000e+00,-9.546493596992067232e-02,6.183072583140153400e-02,-1.277227332474769605e-01,5.541481452721060963e-01,-2.061362216301356742e+00
9.500000000000001499e-02,7.121853049265353119e-02,-1.472223595872774737e-01,9.168123071244500544e-01,-1.906823986735175502e+00,0.000000000000000000e+00,-3.826648969413103951e-01,6.657571682807929270e-02,-1.375726060669100470e-01,4.976098721097609867e-01,-2.022838633826961274e+00
