time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2,tau_pert1,tau_pert2
4.130363464355468750e-02,-3.624017700465387293e-03,1.335164415960932160e-03,-1.907288609411168234e-01,1.907288609411168234e-01,-3.242542153047978104e-03,9.536888685435229718e-04,-1.907288609411168234e-01,1.907288609411168234e-01,-4.393190000000000268e-04,7.155240000000000428e-04,-8.806849999999999401e-02,1.434239999999999959e-01,-9.423794721043944334e-01,1.784233736835274808e-01,-2.396763754111873590e-01,1.784233736835274808e-01,-9.113553113553116702e-01,8.791208791208759976e-03,-3.275159999999999738e-01,0.000000000000000000e+00,1.263206539131278974e-229,0.000000000000000000e+00
4.330396652221679688e-02,-4.005493247882796481e-03,2.098115510795750538e-03,-1.907061280613860654e-01,3.814122561227721309e-01,-3.624017700465387293e-03,1.335164415960932160e-03,-1.907288609411168234e-01,1.907288609411168234e-01,-5.318200000000000141e-04,8.661639999999999964e-04,-9.693250000000000477e-02,1.578529999999999933e-01,-9.448299465734411040e-01,1.816262420781744880e-01,-2.405725713209906913e-01,1.816262420781744880e-01,-9.054945054945058303e-01,3.809523809523795990e-02,-3.280250000000000110e-01,0.000000000000000000e+00,3.668635256882502580e-229,0.000000000000000000e+00
4.530405998229980469e-02,-4.386968795300205670e-03,2.861066605630568915e-03,-1.907288609411168234e-01,3.814577218822336468e-01,-4.005493247882796481e-03,2.098115510795750538e-03,-1.907061280613860654e-01,3.814122561227721309e-01,-6.331880000000000234e-04,1.031240000000000108e-03,-1.058029999999999943e-01,1.722899999999999987e-01,-9.514097333724235162e-01,1.830653484848752677e-01,-2.411996593573112468e-01,1.830653484848752677e-01,-9.230769230769233502e-01,3.809523809523795990e-02,-3.285210000000000075e-01,0.000000000000000000e+00,1.064301324417960178e-228,0.000000000000000000e+00
4.730415344238281250e-02,-4.768444342717614859e-03,3.624017700465387293e-03,-1.907288609411168234e-01,3.814577218822336468e-01,-4.386968795300205670e-03,2.861066605630568915e-03,-1.907288609411168234e-01,3.814577218822336468e-01,-7.434300000000000023e-04,1.210750000000000021e-03,-1.146780000000000022e-01,1.867340000000000111e-01,-9.612920462639149566e-01,1.838723627140710914e-01,-2.416530914424710186e-01,1.838723627140710914e-01,-9.347985347985350302e-01,4.981684981684963986e-02,-3.290040000000000187e-01,0.000000000000000000e+00,3.084285460167866455e-228,0.000000000000000000e+00
4.930424690246582031e-02,-5.531395437552433236e-03,4.386968795300205670e-03,-3.814577218822336468e-01,3.814577218822336468e-01,-4.768444342717614859e-03,3.624017700465387293e-03,-1.907288609411168234e-01,3.814577218822336468e-01,-8.625479999999999823e-04,1.404709999999999986e-03,-1.235580000000000012e-01,2.011819999999999997e-01,-9.361202634322035587e-01,1.843805334467621682e-01,-2.437822168429357728e-01,1.843805334467621682e-01,-9.230769230769233502e-01,7.912087912087883979e-02,-3.294739999999999891e-01,0.000000000000000000e+00,8.928416210786324632e-228,0.000000000000000000e+00
5.130434036254882812e-02,-5.912870984969842425e-03,5.149919890135024048e-03,-1.907288609411168234e-01,3.814577218822336468e-01,-5.531395437552433236e-03,4.386968795300205670e-03,-3.814577218822336468e-01,3.814577218822336468e-01,-9.905479999999999494e-04,1.613120000000000005e-03,-1.324400000000000022e-01,2.156329999999999913e-01,-9.583884510672651125e-01,1.847236519620896744e-01,-2.436608424249910032e-01,1.847236519620896744e-01,-9.289377289377291902e-01,9.670329670329635974e-02,-3.299320000000000030e-01,0.000000000000000000e+00,2.581809443141291975e-227,0.000000000000000000e+00
5.330443382263183594e-02,-6.294346532387251614e-03,5.912870984969842425e-03,-1.907288609411168234e-01,3.814577218822336468e-01,-5.912870984969842425e-03,5.149919890135024048e-03,-1.907288609411168234e-01,3.814577218822336468e-01,-1.127430000000000012e-03,1.835980000000000077e-03,-1.413250000000000062e-01,2.300840000000000107e-01,-9.807075062650536523e-01,1.849661195358262844e-01,-2.435611144232276704e-01,1.849661195358262844e-01,-9.230769230769233502e-01,9.084249084249051975e-02,-3.303769999999999762e-01,0.000000000000000000e+00,7.457681631280966826e-227,0.000000000000000000e+00
5.530476570129394531e-02,-7.057297627222069991e-03,7.057297627222069991e-03,-3.814122561227721309e-01,5.721183841841581685e-01,-6.294346532387251614e-03,5.912870984969842425e-03,-1.907288609411168234e-01,3.814577218822336468e-01,-1.273199999999999939e-03,2.073290000000000202e-03,-1.502110000000000112e-01,2.445350000000000024e-01,-9.558667473602115994e-01,1.855659749705373673e-01,-2.448118558170410686e-01,1.855659749705373673e-01,-9.113553113553116702e-01,9.084249084249051975e-02,-3.308090000000000197e-01,0.000000000000000000e+00,2.151856917739739078e-226,0.000000000000000000e+00
5.730485916137695312e-02,-7.820248722056888369e-03,8.201724269474297557e-03,-3.814577218822336468e-01,5.721865828233504425e-01,-7.057297627222069991e-03,7.057297627222069991e-03,-3.814122561227721309e-01,5.721183841841581685e-01,-1.427859999999999980e-03,2.325049999999999947e-03,-1.590969999999999884e-01,2.589830000000000187e-01,-9.401191430042967756e-01,1.859449990937197539e-01,-2.455751181868047195e-01,1.859449990937197539e-01,-9.172161172161175102e-01,9.084249084249051975e-02,-3.312280000000000224e-01,0.000000000000000000e+00,6.202300998037883964e-226,0.000000000000000000e+00
5.930495262145996094e-02,-8.964675364309115935e-03,9.346150911726525123e-03,-5.721865828233504425e-01,5.721865828233504425e-01,-7.820248722056888369e-03,8.201724269474297557e-03,-3.814577218822336468e-01,5.721865828233504425e-01,-1.591399999999999976e-03,2.591260000000000178e-03,-1.679819999999999924e-01,2.734260000000000024e-01,-8.929222470281382718e-01,1.862022189282714069e-01,-2.467634643643709103e-01,1.862022189282714069e-01,-9.289377289377291902e-01,1.260073260073255597e-01,-3.316339999999999844e-01,0.000000000000000000e+00,1.785756270108905894e-225,0.000000000000000000e+00
