time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-6.043956043956200119e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.208262288217298419e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,-3.217380000000000240e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.790159025184886522e-56
6.197690963745117188e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,6.155123733160335064e-02,1.907377737087045944e-04,-1.907377737087045944e-04,-6.043956043956200119e-02,-5.494505494507251342e-03,-4.372380000000000140e-06,7.122040000000000000e-06,-8.744699999999999349e-03,1.424399999999999972e-02,-4.005196000326937122e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,-3.223719999999999919e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.243595152459090541e-56
1.153373718261718750e-02,-1.907377737087045944e-04,-1.907377737087045944e-04,-7.149030045284075763e-02,-7.149030045284075763e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,6.155123733160335064e-02,-1.749780000000000042e-05,2.850160000000000169e-05,-1.750590000000000132e-02,2.851470000000000046e-02,-4.735929001102345826e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.549450549450558157e-01,-8.791208791208759976e-03,-3.229929999999999746e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.251362206689127051e-56
1.657605171203613281e-02,-1.335164415960932160e-03,1.907377737087045944e-04,-2.269645488347007967e-01,7.565484961156693222e-02,-1.907377737087045944e-04,-1.907377737087045944e-04,-7.149030045284075763e-02,-7.149030045284075763e-02,-3.939229999999999891e-05,6.416440000000000522e-05,-2.628269999999999912e-02,4.281039999999999845e-02,-7.120398903584622685e-01,0.000000000000000000e+00,-2.166791702797420116e-01,0.000000000000000000e+00,-3.428571428571434154e-01,-8.791208791208759976e-03,-3.236020000000000008e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002371635025944966e-55
2.174806594848632812e-02,-3.242542153047978104e-03,1.907377737087045944e-04,-3.687881838461782857e-01,0.000000000000000000e+00,-1.335164415960932160e-03,1.907377737087045944e-04,-2.269645488347007967e-01,7.565484961156693222e-02,-7.007080000000000003e-05,1.141350000000000041e-04,-3.507400000000000101e-02,5.712919999999999804e-02,-7.388808030023661377e-01,0.000000000000000000e+00,-2.369413341577418231e-01,0.000000000000000000e+00,-4.014652014652018153e-01,-8.791208791208759976e-03,-3.241990000000000149e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.385021970776864274e-55
2.685666084289550781e-02,-4.768444342717614859e-03,5.722133211261137831e-04,-2.986931281906060609e-01,7.467328204765151523e-02,-3.242542153047978104e-03,1.907377737087045944e-04,-3.687881838461782857e-01,0.000000000000000000e+00,-1.095470000000000000e-04,1.784339999999999928e-04,-4.387869999999999965e-02,7.146929999999999950e-02,-7.734266738905559713e-01,0.000000000000000000e+00,-2.406659648992016676e-01,0.000000000000000000e+00,-7.648351648351656706e-01,-4.981684981684963986e-02,-3.247829999999999884e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.912948513443990698e-55
3.165149688720703125e-02,-5.149919890135024048e-03,1.716639963378341349e-03,-7.955966458331405200e-02,2.386789937499421699e-01,-4.768444342717614859e-03,5.722133211261137831e-04,-2.986931281906060609e-01,7.467328204765151523e-02,-1.578349999999999957e-04,2.570839999999999801e-04,-5.269589999999999691e-02,8.582879999999999676e-02,-8.517344978282164192e-01,1.637632681501586529e-01,-2.379456291199595619e-01,1.637632681501586529e-01,-7.120879120879113344e-01,-2.637362637362627993e-02,-3.253550000000000053e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.641001355689498483e-55
3.714394569396972656e-02,-5.912870984969842425e-03,2.861066605630568915e-03,-1.389090953192715361e-01,2.083636429789072764e-01,-5.149919890135024048e-03,1.716639963378341349e-03,-7.955966458331405200e-02,2.386789937499421699e-01,-2.149460000000000118e-04,3.501019999999999762e-04,-6.152450000000000280e-02,1.002060000000000034e-01,-9.109508251378157784e-01,1.736271838194191619e-01,-2.384038199559097848e-01,1.736271838194191619e-01,-7.706959706959715106e-01,-2.637362637362627993e-02,-3.259139999999999815e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.644623670172788542e-55
4.086375236511230469e-02,-7.057297627222069991e-03,4.386968795300205670e-03,-3.076575594991082796e-01,4.102100793321443728e-01,-5.912870984969842425e-03,2.861066605630568915e-03,-1.389090953192715361e-01,2.083636429789072764e-01,-2.808900000000000025e-04,4.575049999999999777e-04,-7.036349999999999549e-02,1.145990000000000064e-01,-9.072338384775293640e-01,1.804312671729478845e-01,-2.414641320330220553e-01,1.804312671729478845e-01,-7.648351648351656706e-01,3.809523809523795990e-02,-3.264599999999999724e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.027539402597991307e-55
4.286384582519531250e-02,-7.820248722056888369e-03,5.149919890135024048e-03,-3.814577218822336468e-01,3.814577218822336468e-01,-7.057297627222069991e-03,4.386968795300205670e-03,-3.076575594991082796e-01,4.102100793321443728e-01,-3.556780000000000054e-04,5.793079999999999497e-04,-7.921190000000000175e-02,1.290050000000000086e-01,-8.778976149074113611e-01,1.824777044618967892e-01,-2.436880274687343306e-01,1.824777044618967892e-01,-8.175824175824182305e-01,6.153846153846131983e-02,-3.269940000000000069e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.932294415370547011e-55
4.486393928527832031e-02,-8.583199816891706746e-03,5.912870984969842425e-03,-3.814577218822336468e-01,3.814577218822336468e-01,-7.820248722056888369e-03,5.149919890135024048e-03,-3.814577218822336468e-01,3.814577218822336468e-01,-4.393190000000000268e-04,7.155240000000000428e-04,-8.806849999999999401e-02,1.434239999999999959e-01,-8.587529482120483948e-01,1.835284390991357151e-01,-2.448861392121270686e-01,1.835284390991357151e-01,-8.351648351648357504e-01,7.326007326007299980e-02,-3.275159999999999738e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.554704042509043114e-55
4.686403274536132812e-02,-9.346150911726525123e-03,6.675822079804660802e-03,-3.814577218822336468e-01,3.814577218822336468e-01,-8.583199816891706746e-03,5.912870984969842425e-03,-3.814577218822336468e-01,3.814577218822336468e-01,-5.318200000000000141e-04,8.661639999999999964e-04,-9.693250000000000477e-02,1.578529999999999933e-01,-8.480807743927089026e-01,1.841586526163553061e-01,-2.456228859508998441e-01,1.841586526163553061e-01,-8.234432234432240705e-01,7.326007326007299980e-02,-3.280250000000000110e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.316364628401318502e-54
4.886412620544433594e-02,-1.010910200656134350e-02,8.583199816891706746e-03,-3.814577218822336468e-01,9.536443047055841449e-01,-9.346150911726525123e-03,6.675822079804660802e-03,-3.814577218822336468e-01,3.814577218822336468e-01,-6.331880000000000234e-04,1.031240000000000108e-03,-1.058029999999999943e-01,1.722899999999999987e-01,-8.170929474732187003e-01,1.858912788209025058e-01,-2.461126320851586002e-01,1.858912788209025058e-01,-7.941391941391948706e-01,7.912087912087883979e-02,-3.285210000000000075e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.812816698790341311e-54
5.086421966552734375e-02,-1.087205310139616188e-02,9.727626459143934312e-03,-3.814577218822336468e-01,5.721865828233504425e-01,-1.010910200656134350e-02,8.583199816891706746e-03,-3.814577218822336468e-01,9.536443047055841449e-01,-7.434300000000000023e-04,1.210750000000000021e-03,-1.146780000000000022e-01,1.867340000000000111e-01,-8.144522269284010241e-01,1.861648944944598871e-01,-2.464549558476910318e-01,1.861648944944598871e-01,-7.765567765567773506e-01,1.142857142857138797e-01,-3.290040000000000187e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.495458239177930096e-54
5.286431312561035156e-02,-1.201647974364838944e-02,1.087205310139616188e-02,-5.721865828233504425e-01,5.721865828233504425e-01,-1.087205310139616188e-02,9.727626459143934312e-03,-3.814577218822336468e-01,5.721865828233504425e-01,-8.625479999999999823e-04,1.404709999999999986e-03,-1.235580000000000012e-01,2.011819999999999997e-01,-7.778894303534034105e-01,1.863580324363588725e-01,-2.472627128439681132e-01,1.863580324363588725e-01,-7.648351648351656706e-01,1.025641025641021997e-01,-3.294739999999999891e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.433724476381125145e-54
5.486440658569335938e-02,-1.316090638590061701e-02,1.239795529106579863e-02,-5.721865828233504425e-01,7.629154437644672937e-01,-1.201647974364838944e-02,1.087205310139616188e-02,-5.721865828233504425e-01,5.721865828233504425e-01,-9.905479999999999494e-04,1.613120000000000005e-03,-1.324400000000000022e-01,2.156329999999999913e-01,-7.441473399817379875e-01,1.867183282890413076e-01,-2.477670394970693246e-01,1.867183282890413076e-01,-7.882783882783890306e-01,7.912087912087883979e-02,-3.299320000000000030e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.722797300937348514e-54
5.686450004577636719e-02,-1.392385748073543539e-02,1.392385748073543539e-02,-3.814577218822336468e-01,7.629154437644672937e-01,-1.316090638590061701e-02,1.239795529106579863e-02,-5.721865828233504425e-01,7.629154437644672937e-01,-1.127430000000000012e-03,1.835980000000000077e-03,-1.413250000000000062e-01,2.300840000000000107e-01,-7.605739573156790057e-01,1.869609115010597566e-01,-2.477187427250820695e-01,1.869609115010597566e-01,-7.882783882783890306e-01,9.084249084249051975e-02,-3.303769999999999762e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.493097030554002429e-54
5.886483192443847656e-02,-1.506828412298766295e-02,1.583123521782248133e-02,-5.721183841841581685e-01,9.535306403069302439e-01,-1.392385748073543539e-02,1.392385748073543539e-02,-3.814577218822336468e-01,7.629154437644672937e-01,-1.273199999999999939e-03,2.073290000000000202e-03,-1.502110000000000112e-01,2.445350000000000024e-01,-7.297596546616387236e-01,1.872871198390560488e-01,-2.480728984736481624e-01,1.872871198390560488e-01,-7.355311355311346944e-01,1.142857142857138797e-01,-3.308090000000000197e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.923252939527622472e-54
6.086492538452148438e-02,-1.659418631265729971e-02,1.773861295490952728e-02,-7.629154437644672937e-01,9.536443047055841449e-01,-1.506828412298766295e-02,1.583123521782248133e-02,-5.721183841841581685e-01,9.535306403069302439e-01,-1.427859999999999980e-03,2.325049999999999947e-03,-1.590969999999999884e-01,2.589830000000000187e-01,-6.698936744503285468e-01,1.875092596918306598e-01,-2.486246550116394671e-01,1.875092596918306598e-01,-7.296703296703288544e-01,1.201465201465197197e-01,-3.312280000000000224e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.225781997946840039e-53
6.286501884460449219e-02,-1.773861295490952728e-02,1.926451514457916403e-02,-5.721865828233504425e-01,7.629154437644672937e-01,-1.659418631265729971e-02,1.773861295490952728e-02,-7.629154437644672937e-01,9.536443047055841449e-01,-1.591399999999999976e-03,2.591260000000000178e-03,-1.679819999999999924e-01,2.734260000000000024e-01,-6.743024659503215057e-01,1.875460197937851847e-01,-2.487296221739409841e-01,1.875460197937851847e-01,-7.531135531135539907e-01,1.201465201465197197e-01,-3.316339999999999844e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.683146810733537480e-53
6.491589546203613281e-02,-1.888303959716175484e-02,2.155336842908361916e-02,-5.580182798541137856e-01,1.116036559708227571e+00,-1.773861295490952728e-02,1.926451514457916403e-02,-5.721865828233504425e-01,7.629154437644672937e-01,-1.763819999999999928e-03,2.871900000000000147e-03,-1.768639999999999934e-01,2.878620000000000068e-01,-6.687804801811573219e-01,1.877912873345045919e-01,-2.487906778359554039e-01,1.877912873345045919e-01,-7.238095238095230144e-01,9.084249084249051975e-02,-3.320270000000000166e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.310199483655319133e-53
6.691598892211914062e-02,-2.079041733424880078e-02,2.384222171358807429e-02,-9.536443047055841449e-01,1.144373165646700885e+00,-1.888303959716175484e-02,2.155336842908361916e-02,-5.580182798541137856e-01,1.116036559708227571e+00,-1.945129999999999993e-03,3.166979999999999795e-03,-1.857439999999999924e-01,3.022889999999999744e-01,-5.848716260416622070e-01,1.879802646688104040e-01,-2.493095577596589618e-01,1.879802646688104040e-01,-6.769230769230762945e-01,1.260073260073255597e-01,-3.324070000000000080e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.169536013425783875e-53
6.891608238220214844e-02,-2.193484397650102835e-02,2.574959945067512024e-02,-5.721865828233504425e-01,9.536443047055841449e-01,-2.079041733424880078e-02,2.384222171358807429e-02,-9.536443047055841449e-01,1.144373165646700885e+00,-2.135310000000000073e-03,3.476480000000000108e-03,-1.946189999999999864e-01,3.167059999999999875e-01,-6.091225208151976878e-01,1.880243335406006078e-01,-2.492700213785077057e-01,1.880243335406006078e-01,-6.710622710622704545e-01,1.260073260073255597e-01,-3.327740000000000142e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.346709570922769235e-53
7.091617584228515625e-02,-2.307927061875325592e-02,2.765697718776216618e-02,-5.721865828233504425e-01,9.536443047055841449e-01,-2.193484397650102835e-02,2.574959945067512024e-02,-5.721865828233504425e-01,9.536443047055841449e-01,-2.334360000000000167e-03,3.800389999999999845e-03,-2.034890000000000032e-01,3.311109999999999887e-01,-6.321996467895000249e-01,1.880588482285988905e-01,-2.492378194933899394e-01,1.880588482285988905e-01,-6.358974358974354146e-01,1.318681318681313996e-01,-3.331279999999999797e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.958600660649712799e-53
7.291626930236816406e-02,-2.498664835584030186e-02,2.956435492484921213e-02,-9.536443047055841449e-01,9.536443047055841449e-01,-2.307927061875325592e-02,2.765697718776216618e-02,-5.721865828233504425e-01,9.536443047055841449e-01,-2.542290000000000001e-03,4.138700000000000365e-03,-2.123529999999999862e-01,3.455019999999999758e-01,-5.758845247789560196e-01,1.880860079708997767e-01,-2.495973657113727262e-01,1.880860079708997767e-01,-6.007326007326003747e-01,1.084249084249080397e-01,-3.334690000000000154e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.164820883557746137e-53
7.491636276245117188e-02,-2.651255054550993862e-02,3.185320820935366726e-02,-7.629154437644672937e-01,1.144373165646700885e+00,-2.498664835584030186e-02,2.956435492484921213e-02,-9.536443047055841449e-01,9.536443047055841449e-01,-2.759070000000000186e-03,4.491389999999999619e-03,-2.212089999999999890e-01,3.598759999999999737e-01,-5.650758262052751890e-01,1.881977001156287799e-01,-2.496832264906122811e-01,1.881977001156287799e-01,-6.124542124542120547e-01,1.201465201465197197e-01,-3.337970000000000104e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.118324314900835959e-52
7.691645622253417969e-02,-2.765697718776216618e-02,3.414206149385812239e-02,-5.721865828233504425e-01,1.144373165646700885e+00,-2.651255054550993862e-02,3.185320820935366726e-02,-7.629154437644672937e-01,1.144373165646700885e+00,-2.984699999999999853e-03,4.858450000000000268e-03,-2.300570000000000115e-01,3.742329999999999823e-01,-5.990278627564129543e-01,1.882826513785870182e-01,-2.495801182095437054e-01,1.882826513785870182e-01,-5.948717948717945347e-01,1.201465201465197197e-01,-3.341120000000000201e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.531114247108843261e-52
7.891654968261718750e-02,-2.918287937743180294e-02,3.643091477836257752e-02,-7.629154437644672937e-01,1.144373165646700885e+00,-2.765697718776216618e-02,3.414206149385812239e-02,-5.721865828233504425e-01,1.144373165646700885e+00,-3.219179999999999871e-03,5.239849999999999890e-03,-2.388959999999999972e-01,3.885689999999999977e-01,-5.901826415554597416e-01,1.883481099311420381e-01,-2.496700345669096988e-01,1.883481099311420381e-01,-5.304029304029302949e-01,1.142857142857138797e-01,-3.344130000000000158e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.095396200603851882e-52
8.091664314270019531e-02,-3.109025711451884888e-02,3.910124361028444184e-02,-9.536443047055841449e-01,1.335102026587817736e+00,-2.918287937743180294e-02,3.643091477836257752e-02,-7.629154437644672937e-01,1.144373165646700885e+00,-3.462489999999999925e-03,5.635580000000000277e-03,-2.477239999999999998e-01,4.028840000000000199e-01,-5.383260329756276441e-01,1.884773549907880763e-01,-2.498955589442680703e-01,1.884773549907880763e-01,-5.479853479853478149e-01,1.142857142857138797e-01,-3.347019999999999995e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.866443797289549345e-52
8.291673660278320312e-02,-3.223468375677107645e-02,4.139009689478889698e-02,-5.721865828233504425e-01,1.144373165646700885e+00,-3.109025711451884888e-02,3.910124361028444184e-02,-9.536443047055841449e-01,1.335102026587817736e+00,-3.714630000000000015e-03,6.045619999999999813e-03,-2.565399999999999903e-01,4.171750000000000180e-01,-5.871509736565868609e-01,1.885006272352744705e-01,-2.497606902908708071e-01,1.885006272352744705e-01,-5.597069597069594948e-01,1.260073260073255597e-01,-3.349770000000000247e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.919579107738551500e-52
