time, pos1, pos2, vel1, vel2, tau1, tau2
3.001976013183593750e-02,5.722133211261137831e-04,1.544975967040507214e-02,5.494505494507251342e-03,1.225274725274726251e+00,1.288359398044842397e-01,7.623771979378579644e-01
3.202009201049804688e-02,1.907377737087045944e-04,1.735713740749211809e-02,-1.263736263736277010e-01,8.736263736263722990e-01,1.365968297900876649e-01,7.572788918373895006e-01
3.402042388916015625e-02,1.907377737087045944e-04,1.964599069199657322e-02,-2.747252747252915128e-02,1.247252747252748151e+00,1.442643210259036690e-01,7.518377300603972246e-01
3.602075576782226562e-02,-1.907377737087045944e-04,2.193484397650102835e-02,-1.593406593406605509e-01,1.192307692307693401e+00,1.518374898344302948e-01,7.460592723507127877e-01
3.802108764648437500e-02,-9.536888685435229718e-04,2.460517280842289267e-02,-3.131868131868138505e-01,1.247252747252748151e+00,1.593154125381655573e-01,7.399490784521678410e-01
4.002141952514648438e-02,-1.716639963378341349e-03,2.765697718776216618e-02,-3.461538461538467004e-01,1.543956043956043800e+00,1.666971654596075547e-01,7.335127081085943690e-01
4.202175140380859375e-02,-2.098115510795750538e-03,3.032730601968403050e-02,-3.461538461538467004e-01,1.346153846153846700e+00,1.739818249212543022e-01,7.267557210638239118e-01
4.402208328247070312e-02,-3.242542153047978104e-03,3.299763485160589482e-02,-4.780219780219781001e-01,1.478021978021978100e+00,1.811684672456038425e-01,7.196836770616883427e-01
4.602241516113281250e-02,-4.005493247882796481e-03,3.604943923094516833e-02,-3.461538461538467004e-01,1.565934065934065700e+00,1.882561687551542462e-01,7.123021358460194241e-01
4.802274703979492188e-02,-4.768444342717614859e-03,3.948271915770185103e-02,-4.120879120879124002e-01,1.631868131868131400e+00,1.952448326604693807e-01,7.046157232378892354e-01
5.002331733703613281e-02,-5.531395437552433236e-03,4.291599908445853373e-02,-5.109890109890109500e-01,1.796703296703295649e+00,2.021318694399700522e-01,6.966318315945246864e-01
5.202364921569824219e-02,-6.675822079804660802e-03,4.634927901121521643e-02,-4.120879120879124002e-01,1.664835164835164250e+00,2.089171942620730582e-01,6.883551226317852212e-01
5.402398109436035156e-02,-7.438773174639479180e-03,5.054551003280671750e-02,-4.780219780219781001e-01,1.917582417582416099e+00,2.155998834492764415e-01,6.797911560935026021e-01
5.602431297302246094e-02,-8.201724269474297557e-03,5.397878995956340020e-02,-4.450549450549452501e-01,1.950549450549448949e+00,2.221790133240783560e-01,6.709454917235085913e-01
5.802464485168457031e-02,-9.346150911726525123e-03,5.817502098115490128e-02,-5.329670329670328499e-01,2.016483516483518201e+00,2.286536602089766779e-01,6.618236892656350623e-01
6.002497673034667969e-02,-1.049057755397875269e-02,6.198977645532899317e-02,-4.450549450549452501e-01,2.016483516483518201e+00,2.350229004264695332e-01,6.524313084637135551e-01
6.202530860900878906e-02,-1.163500419623098026e-02,6.656748302433790343e-02,-5.989010989010985497e-01,2.082417582417583901e+00,2.412865503980318738e-01,6.427727424261866496e-01
6.402587890625000000e-02,-1.239795529106579863e-02,7.038223849851199532e-02,-5.109890109890109500e-01,2.049450549450551051e+00,2.474421934096005526e-01,6.328558535742616620e-01
6.602621078491210938e-02,-1.392385748073543539e-02,7.457846952010349639e-02,-6.648351648351642496e-01,2.148351648351649601e+00,2.534896586111652361e-01,6.226850662724471297e-01
6.802654266357421875e-02,-1.506828412298766295e-02,7.915617608911240666e-02,-5.109890109890109500e-01,2.247252747252748151e+00,2.594280223252239947e-01,6.122659402645749260e-01
7.002687454223632812e-02,-1.583123521782248133e-02,8.373388265812131692e-02,-5.329670329670328499e-01,2.214285714285715301e+00,2.652563608742748991e-01,6.016040352944770353e-01
