time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-2.747252747252915128e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.768428935649077299e-03,-1.091478402004788961e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,9.379083046968534845e-75,0.000000000000000000e+00
6.702423095703125000e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-2.747252747252915128e-02,-5.494505494507251342e-03,9.734473823804125348e-02,-1.129917127511084196e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,1.410470140049084613e-74,0.000000000000000000e+00
1.340270042419433594e-02,1.907377737087045944e-04,-1.335164415960932160e-03,0.000000000000000000e+00,-1.708028766788274311e-01,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.769916660102860417e-01,-1.305536742434946884e+00,0.000000000000000000e+00,-1.543562986482297505e-01,8.791208791208759976e-03,-6.769230769230762945e-01,2.120091829585411103e-74,0.000000000000000000e+00
1.956844329833984375e-02,9.536888685435229718e-04,-3.242542153047978104e-03,1.237403359835295702e-01,-3.093508399588238977e-01,1.907377737087045944e-04,-1.335164415960932160e-03,0.000000000000000000e+00,-1.708028766788274311e-01,4.214577862387867135e-01,-1.332747754792757533e+00,1.899102802806952872e-01,-1.751875767871992895e-01,7.326007326007299980e-02,-9.758241758241759101e-01,3.185170677195405176e-74,0.000000000000000000e+00
2.538013458251953125e-02,2.479591058213159727e-03,-7.057297627222069991e-03,2.625573374524169945e-01,-6.563933436310424030e-01,9.536888685435229718e-04,-3.242542153047978104e-03,1.237403359835295702e-01,-3.093508399588238977e-01,4.978161840119812442e-01,-1.322312858065299634e+00,2.294122082095295390e-01,-1.827810942670518857e-01,1.377289377289372396e-01,-1.157509157509156950e+00,4.782973847703638297e-74,0.000000000000000000e+00
3.318023681640625000e-02,7.057297627222069991e-03,-1.506828412298766295e-02,5.868777654120415077e-01,-1.027036089471072611e+00,2.479591058213159727e-03,-7.057297627222069991e-03,2.625573374524169945e-01,-6.563933436310424030e-01,5.325365496195831883e-01,-1.289542633438890196e+00,2.423813340105758496e-01,-1.855987292931754462e-01,3.663003663003667754e-01,-1.216117216117215349e+00,7.178778678780465886e-74,0.000000000000000000e+00
3.546619415283203125e-02,9.346150911726525123e-03,-1.850156404974434565e-02,1.001266842575112115e+00,-1.501900263862667950e+00,7.057297627222069991e-03,-1.506828412298766295e-02,5.868777654120415077e-01,-1.027036089471072611e+00,4.923421703739534472e-01,-1.222823133118766892e+00,2.469692870465896584e-01,-1.870712801890196675e-01,-8.791208791208759976e-03,-1.175091575091574470e+00,1.076937210464438674e-73,0.000000000000000000e+00
3.746628761291503906e-02,1.049057755397875269e-02,-2.155336842908361916e-02,5.721865828233504425e-01,-1.525830887528934587e+00,9.346150911726525123e-03,-1.850156404974434565e-02,1.001266842575112115e+00,-1.501900263862667950e+00,4.961811471441150978e-01,-1.168184567111072436e+00,2.475784306964176895e-01,-1.877392055803096815e-01,1.084249084249080397e-01,-1.169230769230768630e+00,1.614795247160529647e-73,0.000000000000000000e+00
3.983592987060546875e-02,1.201647974364838944e-02,-2.536812390325771105e-02,6.439377862702602151e-01,-1.609844465675650538e+00,1.049057755397875269e-02,-2.155336842908361916e-02,5.721865828233504425e-01,-1.525830887528934587e+00,4.976554074183534571e-01,-1.119463144493446638e+00,2.481150756839894667e-01,-1.881743100912445510e-01,2.021978021978014795e-01,-1.104761904761904390e+00,2.420091591107588487e-73,0.000000000000000000e+00
4.204225540161132812e-02,1.392385748073543539e-02,-2.956435492484921213e-02,8.645042221931213966e-01,-1.901909288824866984e+00,1.201647974364838944e-02,-2.536812390325771105e-02,6.439377862702602151e-01,-1.609844465675650538e+00,4.839454701807184289e-01,-1.061805087797882852e+00,2.487947413188797696e-01,-1.885783205514489358e-01,2.608058608058616556e-01,-1.057875457875457670e+00,3.625211955367173545e-73,0.000000000000000000e+00
