time, pos1, pos2, vel1, vel2, tau1, tau2, K11, K12, K13, K14, K21, K22, K23, K24, k1, k2
0.17, -0.0355712, 0.132246, -0.0782775, 0.371183, 0, 0.00785341, 0, 0, 0, 0, 0.00663625, 0.00526477, -0.00493566, -0.00155212, 0, -3.38501e-07
0.175, -0.0359222, 0.133967, -0.0621045, 0.316847, 0, 0.00719107, 0, 0, 0, 0, 0.00437365, 0.00693724, -0.00531884, -0.00168913, 0, -3.25097e-07
0.18, -0.0361919, 0.135413, -0.045748, 0.261718, 0, 0.00646771, 0, 0, 0, 0, 0.00203382, 0.00855916, -0.0056762, -0.00184164, 0, -3.11295e-07
0.185, -0.0363794, 0.136582, -0.0292344, 0.205881, 0, 0.00567014, 0, 0, 0, 0, -0.000369481, 0.0101156, -0.00600635, -0.00200906, 0, -2.97138e-07
0.19, -0.0364839, 0.137471, -0.012588, 0.149415, 0, 0.00478646, 0, 0, 0, 0, -0.00282247, 0.0115924, -0.00630809, -0.00219063, 0, -2.82667e-07
0.195, -0.0365049, 0.138075, 0.00416856, 0.0923917, 0, 0.00380591, 0, 0, 0, 0, -0.00531145, 0.0129756, -0.00658041, -0.00238551, 0, -2.67926e-07
0.2, -0.036442, 0.138393, 0.0210143, 0.0348785, 0, 0.00271873, 0, 0, 0, 0, -0.00782283, 0.0142522, -0.00682244, -0.00259273, 0, -2.52953e-07
0.205, -0.0362946, 0.138423, 0.0379296, -0.0230621, 0, 0.00151608, 0, 0, 0, 0, -0.0103433, 0.01541, -0.00703353, -0.00281119, 0, -2.37789e-07
0.21, -0.0360624, 0.138162, 0.0548963, -0.0813721, 0, 0.000189867, 0, 0, 0, 0, -0.0128597, 0.0164375, -0.00721316, -0.00303974, 0, -2.22472e-07
0.215, -0.0357454, 0.137608, 0.0718971, -0.139997, 0, -0.00126729, 0, 0, 0, 0, -0.0153594, 0.0173241, -0.00736098, -0.00327708, 0, -2.07039e-07
0.22, -0.0353432, 0.136761, 0.088916, -0.198887, 0, -0.00286219, 0, 0, 0, 0, -0.0178299, 0.01806, -0.00747679, -0.00352186, 0, -1.91526e-07
0.225, -0.034856, 0.135618, 0.105938, -0.257994, 0, -0.00460111, 0, 0, 0, 0, -0.0202594, 0.0186364, -0.00756055, -0.00377265, 0, -1.75967e-07
0.23, -0.0342837, 0.13418, 0.122949, -0.317273, 0, -0.00648986, 0, 0, 0, 0, -0.0226362, 0.0190454, -0.00761233, -0.00402795, 0, -1.60397e-07
0.235, -0.0336263, 0.132444, 0.139935, -0.376683, 0, -0.00853389, 0, 0, 0, 0, -0.0249494, 0.0192804, -0.00763235, -0.00428617, 0, -1.44847e-07
0.24, -0.0328841, 0.130412, 0.156885, -0.436185, 0, -0.0107383, 0, 0, 0, 0, -0.0271883, 0.0193353, -0.00762096, -0.0045457, 0, -1.2935e-07
0.245, -0.0320573, 0.128081, 0.173785, -0.495741, 0, -0.0131079, 0, 0, 0, 0, -0.029343, 0.0192055, -0.00757862, -0.00480487, 0, -1.13936e-07
0.25, -0.0311461, 0.125453, 0.190624, -0.555317, 0, -0.0156474, 0, 0, 0, 0, -0.0314037, 0.0188874, -0.00750591, -0.00506195, 0, -9.8635e-08
0.255, -0.0301508, 0.122527, 0.207393, -0.614879, 0, -0.018361, 0, 0, 0, 0, -0.0333616, 0.0183785, -0.00740351, -0.00531521, 0, -8.34769e-08
0.26, -0.0290719, 0.119303, 0.22408, -0.674397, 0, -0.021253, 0, 0, 0, 0, -0.0352082, 0.0176773, -0.00727224, -0.00556287, 0, -6.84903e-08
0.265, -0.0279098, 0.115782, 0.240676, -0.733841, 0, -0.0243275, 0, 0, 0, 0, -0.0369354, 0.0167839, -0.00711299, -0.00580314, 0, -5.37038e-08
0.27, -0.0266649, 0.111964, 0.257171, -0.793183, 0, -0.0275886, 0, 0, 0, 0, -0.0385358, 0.0156993, -0.00692679, -0.00603423, 0, -3.91457e-08
0.275, -0.0253379, 0.107849, 0.273557, -0.852398, 0, -0.03104, 0, 0, 0, 0, -0.0400028, 0.0144261, -0.00671474, -0.00625434, 0, -2.48441e-08
0.28, -0.0239291, 0.103438, 0.289826, -0.911461, 0, -0.0346855, 0, 0, 0, 0, -0.0413301, 0.0129682, -0.00647808, -0.00646168, 0, -1.08269e-08
0.285, -0.0224393, 0.0987328, 0.305969, -0.970348, 0, -0.0385291, 0, 0, 0, 0, -0.042512, 0.0113308, -0.00621813, -0.00665451, 0, 2.87755e-09
0.29, -0.0208692, 0.0937333, 0.321979, -1.02904, 0, -0.0425743, 0, 0, 0, 0, -0.0435436, 0.00952069, -0.00593632, -0.00683109, 0, 1.62411e-08
0.295, -0.0192193, 0.0884409, 0.337848, -1.08751, 0, -0.0468248, 0, 0, 0, 0, -0.0444206, 0.00754615, -0.0056342, -0.00698974, 0, 2.92352e-08
0.3, -0.0174904, 0.0828567, 0.353571, -1.14575, 0, -0.0512842, 0, 0, 0, 0, -0.0451394, 0.00541706, -0.00531341, -0.00712886, 0, 4.1831e-08
0.305, -0.0156832, 0.0769819, 0.36914, -1.20373, 0, -0.0559563, 0, 0, 0, 0, -0.0456971, 0.00314488, -0.00497572, -0.00724691, 0, 5.39993e-08
0.31, -0.0137986, 0.0708177, 0.384549, -1.26145, 0, -0.0608444, 0, 0, 0, 0, -0.0460915, 0.000742733, -0.00462298, -0.00734244, 0, 6.57107e-08
0.315, -0.0118374, 0.0643656, 0.399793, -1.31888, 0, -0.0659522, 0, 0, 0, 0, -0.0463213, -0.00177461, -0.00425717, -0.00741413, 0, 7.69351e-08
0.32, -0.00980034, 0.0576271, 0.414867, -1.37601, 0, -0.0712831, 0, 0, 0, 0, -0.046386, -0.0043907, -0.00388036, -0.00746077, 0, 8.76424e-08
0.325, -0.00768834, 0.0506036, 0.429764, -1.43283, 0, -0.0768406, 0, 0, 0, 0, -0.046286, -0.00708748, -0.00349473, -0.00748132, 0, 9.78021e-08
0.33, -0.00550229, 0.0432968, 0.444481, -1.48934, 0, -0.0826281, 0, 0, 0, 0, -0.0460226, -0.00984527, -0.00310256, -0.00747488, 0, 1.07383e-07
0.335, -0.00324309, 0.0357082, 0.459013, -1.54551, 0, -0.0886488, 0, 0, 0, 0, -0.045598, -0.0126429, -0.00270622, -0.00744077, 0, 1.16356e-07
0.34, -0.000911697, 0.0278395, 0.473356, -1.60135, 0, -0.094906, 0, 0, 0, 0, -0.0450156, -0.0154576, -0.00230815, -0.00737851, 0, 1.24689e-07
0.345, 0.00149095, 0.0196924, 0.487506, -1.65684, 0, -0.101403, 0, 0, 0, 0, -0.0442796, -0.0182656, -0.00191087, -0.00728784, 0, 1.32352e-07
0.35, 0.00396388, 0.0112686, 0.50146, -1.71199, 0, -0.108142, 0, 0, 0, 0, -0.0433952, -0.0210417, -0.00151694, -0.00716875, 0, 1.39315e-07
0.355, 0.00650609, 0.00257, 0.515214, -1.76678, 0, -0.115127, 0, 0, 0, 0, -0.0423689, -0.02376, -0.00112898, -0.0070215, 0, 1.4555e-07
0.36, 0.00911659, -0.00640176, 0.528766, -1.82121, 0, -0.12236, 0, 0, 0, 0, -0.0412081, -0.0263937, -0.000749613, -0.00684661, 0, 1.51028e-07
0.365, 0.0117943, -0.0156448, 0.542113, -1.87529, 0, -0.129844, 0, 0, 0, 0, -0.0399212, -0.0289158, -0.000381458, -0.00664493, 0, 1.55725e-07
0.37, 0.0145383, -0.0251575, 0.555253, -1.92901, 0, -0.137581, 0, 0, 0, 0, -0.0385176, -0.0312991, -2.71063e-05, -0.00641757, 0, 1.59614e-07
0.375, 0.0173475, -0.0349378, 0.568182, -1.98237, 0, -0.145573, 0, 0, 0, 0, -0.0370078, -0.0335167, 0.000310908, -0.00616594, 0, 1.62673e-07
0.38, 0.0202208, -0.0449842, 0.580899, -2.03537, 0, -0.153821, 0, 0, 0, 0, -0.035403, -0.0355423, 0.000630138, -0.00589179, 0, 1.64883e-07
0.385, 0.0231572, -0.0552947, 0.593402, -2.08801, 0, -0.162328, 0, 0, 0, 0, -0.0337152, -0.0373507, 0.000928254, -0.00559714, 0, 1.66227e-07
0.39, 0.0261556, -0.0658675, 0.60569, -2.1403, 0, -0.171094, 0, 0, 0, 0, -0.0319572, -0.038918, 0.00120307, -0.00528427, 0, 1.6669e-07
0.395, 0.0292149, -0.0767011, 0.617759, -2.19224, 0, -0.180119, 0, 0, 0, 0, -0.0301422, -0.0402223, 0.0014526, -0.00495578, 0, 1.66263e-07
0.4, 0.032334, -0.0877934, 0.629608, -2.24383, 0, -0.189405, 0, 0, 0, 0, -0.0282839, -0.0412439, 0.00167502, -0.00461448, 0, 1.64939e-07
0.405, 0.0355118, -0.099143, 0.641236, -2.29507, 0, -0.198951, 0, 0, 0, 0, -0.0263963, -0.0419657, 0.0018688, -0.00426339, 0, 1.62716e-07
0.41, 0.0387472, -0.110748, 0.652639, -2.34598, 0, -0.208755, 0, 0, 0, 0, -0.0244935, -0.0423737, 0.00203263, -0.00390573, 0, 1.59595e-07
0.415, 0.0420391, -0.122607, 0.663817, -2.39654, 0, -0.218818, 0, 0, 0, 0, -0.0225892, -0.0424571, 0.00216549, -0.00354485, 0, 1.55584e-07
0.42, 0.0453863, -0.134717, 0.674764, -2.44676, 0, -0.229135, 0, 0, 0, 0, -0.0206973, -0.0422087, 0.00226668, -0.00318421, 0, 1.50693e-07
0.425, 0.0487876, -0.147078, 0.68548, -2.49665, 0, -0.239705, 0, 0, 0, 0, -0.0188308, -0.041625, 0.00233579, -0.00282731, 0, 1.44939e-07
0.43, 0.052242, -0.159688, 0.69596, -2.5462, 0, -0.250524, 0, 0, 0, 0, -0.0170024, -0.0407065, 0.00237274, -0.00247768, 0, 1.3834e-07
0.435, 0.0557482, -0.172545, 0.7062, -2.59541, 0, -0.261588, 0, 0, 0, 0, -0.0152239, -0.0394575, 0.00237776, -0.00213879, 0, 1.30922e-07
0.44, 0.059305, -0.185646, 0.716195, -2.64428, 0, -0.272891, 0, 0, 0, 0, -0.0135061, -0.0378863, 0.0023514, -0.00181404, 0, 1.22712e-07
0.445, 0.0629111, -0.198992, 0.72594, -2.6928, 0, -0.284427, 0, 0, 0, 0, -0.0118589, -0.0360049, 0.00229451, -0.00150668, 0, 1.13745e-07
0.45, 0.0665654, -0.212579, 0.735429, -2.74097, 0, -0.296189, 0, 0, 0, 0, -0.0102907, -0.0338291, 0.00220823, -0.0012198, 0, 1.04055e-07
0.455, 0.0702665, -0.226406, 0.744654, -2.78876, 0, -0.308167, 0, 0, 0, 0, -0.00880905, -0.0313779, 0.00209396, -0.000956281, 0, 9.36819e-08
0.46, 0.074013, -0.240471, 0.753608, -2.83618, 0, -0.320353, 0, 0, 0, 0, -0.00741992, -0.0286736, 0.00195333, -0.000718752, 0, 8.26676e-08
0.465, 0.0778036, -0.254773, 0.76228, -2.8832, 0, -0.332736, 0, 0, 0, 0, -0.00612802, -0.025741, 0.00178818, -0.000509575, 0, 7.10564e-08
0.47, 0.0816368, -0.269308, 0.77066, -2.92979, 0, -0.345303, 0, 0, 0, 0, -0.00493672, -0.0226074, 0.00160054, -0.000330818, 0, 5.88943e-08
0.475, 0.0855112, -0.284075, 0.778738, -2.97594, 0, -0.358041, 0, 0, 0, 0, -0.00384806, -0.0193019, 0.00139256, -0.00018424, 0, 4.62287e-08
0.48, 0.0894252, -0.299072, 0.786498, -3.02162, 0, -0.370936, 0, 0, 0, 0, -0.00286279, -0.0158551, 0.00116649, -7.12846e-05, 0, 3.3108e-08
0.485, 0.0933772, -0.314296, 0.793928, -3.06678, 0, -0.38397, 0, 0, 0, 0, -0.00198045, -0.0122986, 0.00092468, 6.92588e-06, 0, 1.95807e-08
0.49, 0.0973655, -0.329744, 0.801012, -3.11139, 0, -0.397127, 0, 0, 0, 0, -0.00119946, -0.00866439, 0.000669479, 4.95863e-05, 0, 5.69576e-09
0.495, 0.101388, -0.345414, 0.807731, -3.15541, 0, -0.410388, 0, 0, 0, 0, -0.000517204, -0.00498481, 0.000403255, 5.62018e-05, 0, -8.49876e-09
0.5, 0.105444, -0.361303, 0.814068, -3.19878, 0, -0.423731, 0, 0, 0, 0, 6.98755e-05, -0.0012917, 0.000128344, 2.65758e-05, 0, -2.29554e-08
0.505, 0.10953, -0.377407, 0.820003, -3.24146, 0, -0.437135, 0, 0, 0, 0, 0.000566135, 0.00238374, -0.000152978, -3.92059e-05, 0, -3.76278e-08
0.51, 0.113645, -0.393722, 0.825513, -3.28337, 0, -0.450576, 0, 0, 0, 0, 0.000976624, 0.00601139, -0.000438514, -0.000140794, 0, -5.24712e-08
0.515, 0.117786, -0.410245, 0.830577, -3.32446, 0, -0.46403, 0, 0, 0, 0, 0.00130697, 0.00956251, -0.000726176, -0.000277594, 0, -6.74422e-08
0.52, 0.121951, -0.426971, 0.83517, -3.36466, 0, -0.477471, 0, 0, 0, 0, 0.00156324, 0.01301, -0.00101399, -0.000448795, 0, -8.24998e-08
