time,pos1,pos2,vel1,vel2,acc1,acc2
0,0,0,-7.37344695478681E-05,-0.000171805470714,-0.021466448473471,-0.050731352008383
0.003333333333333,-2.4578156515956E-07,-5.72684902381085E-07,-0.000145289297793,-0.000340909977409,-0.031714626261222,-0.075488344485641
0.006666666666667,-9.68595318618477E-07,-2.27273318272624E-06,-0.000285165311289,-0.000675061100619,-0.040999981646658,-0.099026800293611
0.01,-2.14688364042186E-06,-5.07309223983839E-06,-0.00041862250877,-0.001001088646033,-0.039089009782291,-0.096587536859995
0.013333333333333,-3.75941204375508E-06,-8.94665748961294E-06,-0.000545758709838,-0.001318978013019,-0.037207645959071,-0.094144191626397
0.016666666666667,-5.78527503934155E-06,-1.38662789932955E-05,-0.000666673481831,-0.001628716590209,-0.035356410999591,-0.091697361583632
0.02,-8.20390192262816E-06,-1.98047680910062E-05,-0.000781468116502,-0.001930293756909,-0.033535818681275,-0.089247644090939
0.023333333333333,-1.09950624826875E-05,-2.67349040393584E-05,-0.000890245606373,-0.002223700884149,-0.031746375641288,-0.086795636770277
0.026666666666667,-1.41388726317801E-05,-3.46294406519967E-05,-0.000993110620777,-0.002508931335378,-0.029988581282749,-0.084341937400504
0.03,-1.76157999545351E-05,-4.34611129418781E-05,-0.001090169481591,-0.002785980466819,-0.028262927682286,-0.081887143811437
0.033333333333333,-2.14066691757209E-05,-5.32026437641207E-05,-0.001181530138659,-0.003054845627454,-0.026569899498928,-0.079431853777811
0.036666666666667,-2.54926675455954E-05,-6.38267504582394E-05,-0.001267302144917,-0.003315526158671,-0.024909973884342,-0.076976664913159
0.04,-2.98553501418363E-05,-7.53061514885918E-05,-0.001347596631221,-0.003568023393542,-0.023283620394447,-0.074522174563623
0.043333333333333,-3.44766450870709E-05,-8.76135730818522E-05,-0.00142252628088,-0.003812340655762,-0.021691300902421,-0.072068979701739
0.046666666666667,-3.93388586810382E-05,-0.00010072175586,-0.001492205303904,-0.00404848325822,-0.020133469513085,-0.069617676820166
0.05,-4.44246804464317E-05,-0.00011460346147,-0.001556749410968,-0.004276458501229,-0.018610572478722,-0.067168861825399
0.053333333333333,-4.97171880874883E-05,-0.000129231479202,-0.001616275787096,-0.00449627567039,-0.017123048116298,-0.064723129931517
0.056666666666667,-5.51998523604024E-05,-0.000144578632606,-0.001670903065076,-0.004707946034106,-0.015671326726133,-0.062281075553916
0.06,-6.08565418546628E-05,-0.000160617786096,-0.001720751298603,-0.004911482840749,-0.014255830512022,-0.05984329220309
0.063333333333333,-6.66715276844234E-05,-0.000177321851544,-0.001765941935156,-0.00510690131546,-0.012876973502817,-0.057410372378483
0.066666666666667,-7.26294880890382E-05,-0.000194663794866,-0.001806597788622,-0.005294218656606,-0.011535161475484,-0.054982907462394
0.07,-7.8715512941903E-05,-0.000212616642588,-0.00184284301166,-0.005473454031876,-0.01023079187964,-0.052561487613944
0.073333333333333,-8.49151081667685E-05,-0.000231153488411,-0.00187480306782,-0.005644628574032,-0.0089642537636,-0.050146701663193
0.076666666666667,-9.12142000606999E-05,-0.000250247499748,-0.001902604703417,-0.005807765376297,-0.007735927701938,-0.047739137005371
0.08,-9.7599139522881E-05,-0.000269871924253,-0.001926375919166,-0.005962889487401,-0.00654618572456,-0.045339379495208
0.083333333333333,-0.000104056706188,-0.000290000096331,-0.001946245941581,-0.006110027906265,-0.005395391247293,-0.042948013341461
0.086666666666667,-0.000110574112467,-0.000310605443629,-0.001962345194148,-0.006249209576344,-0.004283899004064,-0.040565621001585
0.09,-0.000117139007483,-0.000331661493507,-0.001974805268274,-0.006380465379609,-0.003212054980605,-0.038192783076603
0.093333333333333,-0.000123739480922,-0.000353141879493,-0.001983758894018,-0.006503828130188,-0.002180196349695,-0.035830078206195
0.096666666666667,-0.000130364066776,-0.000375020347708,-0.001989339910606,-0.00661933256765,-0.001188651408045,-0.033478082963958
0.1,-0.000137001746993,-0.000397270763277,-0.001991683236739,-0.006727015349948,-0.000237739514696,-0.031137371752978
0.103333333333333,-0.000143641955021,-0.000419867116708,-0.001990924840704,-0.006826915046004,0.000672228968934,-0.028808516701604
0.106666666666667,-0.000150274579264,-0.00044278353025,-0.001987201710279,-0.006919072127958,0.001540952737411,-0.026492087559474
0.11,-0.000156889966423,-0.000465994264227,-0.001980651822454,-0.007003528963067,0.002368139598095,-0.024188651593939
0.113333333333333,-0.000163478924747,-0.000489473723337,-0.001971414112959,-0.007080329805251,0.00315350652623,-0.021898773486671
