time,shoulder_pos,elbow_pos,shoulder_vel,elbow_vel,shoulder_acc,elbow_acc
0,0,0,-1.1897982212397E-05,-2.76073577597838E-05,-0.003527290257647,-0.00823042245186
0.003333333333333,-3.96599407079901E-08,-9.2024525865946E-08,-2.36556164045536E-05,-5.50420992659825E-05,-0.005259492710656,-0.012306768225411
0.006666666666667,-1.57704109363691E-07,-3.66947328439883E-07,-4.6961266950102E-05,-0.000109652479263,-0.006928991756457,-0.016305348586037
0.01,-3.5273505370867E-07,-8.23041054282755E-07,-6.98488947809356E-05,-0.000163744423173,-0.006803950207768,-0.016149750268109
0.013333333333333,-6.23363407903262E-07,-1.45857681625917E-06,-9.23209350018895E-05,-0.00021731748105,-0.006679641937359,-0.015994020015221
0.016666666666667,-9.68207953721267E-07,-2.27182426128217E-06,-0.00011437984103,-0.000270371223274,-0.006556072424984,-0.015838163927077
0.02,-1.38589568143657E-06,-3.26105163808826E-06,-0.000136028084502,-0.000322905240564,-0.006433247122507,-0.01568218810593
0.023333333333333,-1.87506185039983E-06,-4.42452586504058E-06,-0.00015726815518,-0.000374919143981,-0.006311171453737,-0.015526098656401
0.026666666666667,-2.43435004930351E-06,-5.76051259795866E-06,-0.00017810256086,-0.00042641256494,-0.006189850814272,-0.015369901685316
0.03,-3.06241225613337E-06,-7.26727629797237E-06,-0.000198533827275,-0.000477385155216,-0.006069290571337,-0.015213603301527
0.033333333333333,-3.75790889780476E-06,-8.94308029939865E-06,-0.000218564498002,-0.00052783658695,-0.005949496063624,-0.01505720961574
0.036666666666667,-4.51950890948188E-06,-1.07861868776387E-05,-0.000238197134366,-0.000577766552654,-0.005830472601136,-0.014900726740347
0.04,-5.34588979357819E-06,-1.27948573170938E-05,-0.000257434315343,-0.000627174765219,-0.005712225465029,-0.014744160789244
0.043333333333333,-6.23573767843643E-06,-1.49673519790981E-05,-0.000276278637466,-0.000676060957916,-0.005594759907456,-0.014587517877668
0.046666666666667,-7.18774737668625E-06,-1.73019303698664E-05,-0.000294732714726,-0.000724424884403,-0.005478081151408,-0.014430804122018
0.05,-8.2006224432779E-06,-1.9796851208454E-05,-0.000312799178476,-0.000772266318729,-0.005362194390566,-0.014274025639681
0.053333333333333,-9.27307523319021E-06,-2.24503724947287E-05,-0.00033048067733,-0.000819585055335,-0.005247104789142,-0.014117188548862
0.056666666666667,-1.04038269588112E-05,-2.52607515773512E-05,-0.00034777987707,-0.000866380909055,-0.005132817481727,-0.013960298968409
0.06,-1.15916077469894E-05,-2.82262452217626E-05,-0.000364699460542,-0.000912653715124,-0.005019337573139,-0.013803363017642
0.063333333333333,-1.28351566957545E-05,-3.13451096781777E-05,-0.000381242127557,-0.000958403329173,-0.004906670138275,-0.013646386816174
0.066666666666667,-1.41332219307058E-05,-3.46156007495807E-05,-0.000397410594797,-0.001003629627232,-0.004794820221956,-0.01348937648374
0.07,-1.54845606610657E-05,-3.8035973859723E-05,-0.000413207595704,-0.001048332505731,-0.004683792838777,-0.013332338140028
0.073333333333333,-1.68879392353981E-05,-4.16044841211205E-05,-0.000428635880389,-0.001092511881499,-0.004573592972967,-0.0131752779045
0.076666666666667,-1.83421331969891E-05,-4.53193864030474E-05,-0.000443698215524,-0.001136167691761,-0.004464225578229,-0.013018201896217
0.08,-1.98459273388888E-05,-4.9178935399527E-05,-0.000458397384243,-0.00117929989414,-0.004355695577602,-0.01286111623367
0.083333333333333,-2.13981157586117E-05,-5.31813856973148E-05,-0.000472736186041,-0.001221908466652,-0.004248007863313,-0.012704027034601
0.086666666666667,-2.29975019124953E-05,-5.73249918438744E-05,-0.000486717436665,-0.001263993407704,-0.004141167296631,-0.012546940415836
0.09,-2.46428986697148E-05,-6.16080084153422E-05,-0.000500343968019,-0.001305554736091,-0.004035178707724,-0.012389862493106
0.093333333333333,-2.6333128365952E-05,-6.60286900844811E-05,-0.00051361862805,-0.001346592490991,-0.003930046895515,-0.012232799380871
0.096666666666667,-2.80670228567167E-05,-7.05852916886188E-05,-0.000526544280655,-0.001387106731963,-0.003825776627539,-0.012075757192152
0.1,-2.98434235703204E-05,-7.5276068297571E-05,-0.000539123805567,-0.001427097538939,-0.003722372639802,-0.011918742038351
0.103333333333333,-3.16611815604982E-05,-8.00992752815465E-05,-0.000551360098254,-0.001466565012219,-0.003619839636644,-0.011761760029087
0.106666666666667,-3.35191575586801E-05,-8.5053168379032E-05,-0.000563256069812,-0.001505509272466,-0.003518182290596,-0.011604817272004
0.11,-3.54162220259083E-05,-9.01360037646559E-05,-0.000574814646858,-0.001543930460699,-0.003417405242241,-0.011447919872614
0.113333333333333,-3.73512552043996E-05,-9.53460381170266E-05,-0.000586038771426,-0.001581828738284,-0.003317513100077,-0.011291073934121
0.116666666666667,-3.93231471687514E-05,-0.000100681528687,-0.000596931400858,-0.001619204286927,-0.003218510440377,-0.011134285557233
0.12,-4.13307978767892E-05,-0.000106140733363,-0.000607495507696,-0.001656057308665,-0.003120401807067,-0.010977560840004
0.123333333333333,-4.33731172200556E-05,-0.000111721910744,-0.000617734079572,-0.00169238802586,-0.003023191711577,-0.010820905877657
0.126666666666667,-4.54490250739373E-05,-0.000117423320202,-0.000627650119106,-0.001728196681183,-0.002926884632706,-0.010664326762398
0.13,-4.755745134743E-05,-0.000123243221952,-0.00063724664379,-0.001763483537609,-0.002831485016491,-0.01050782958325
0.133333333333333,-4.9697336032539E-05,-0.00012917987712,-0.000646526685883,-0.001798248878405,-0.002736997276095,-0.010351420425891
