time,pos1,vel1,acc1,jerk1,tau1,pos2,vel2,acc2,jerk2,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.135548599138745953e-05,-3.058625738694843577e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.488315329044076983e-04,1.079183870653628787e+02,-6.290559508488506705e-16
1.000116715532993212e-03,-2.697049297713826605e-07,-1.531774944672550988e-05,-3.057026089710593655e-02,-3.046442787201106839e+01,0.000000000000000000e+00,8.364992011563386904e-07,5.415783117496833303e-05,1.079913780830270842e-01,1.075415585124956692e+02,2.104484762499935369e-03
2.000233431065986424e-03,-1.089904010552152905e-06,-6.110703852433706403e-05,-6.097732257388634863e-02,-3.034259835707370101e+01,0.000000000000000000e+00,3.389159601271122518e-06,2.158823258680603232e-04,2.153570520985371717e-01,1.071647299596284597e+02,4.208969525000500443e-03
3.000350146598979636e-03,-2.477223679542244448e-06,-1.372460092774441221e-04,-9.126254051633263253e-02,-3.022076884213633363e+01,0.000000000000000000e+00,7.722725395313003753e-06,4.847965675577845814e-04,3.223458535794346269e-01,1.067879014067612502e+02,6.313454287501065083e-03
4.000466862131972848e-03,-4.448290373941590577e-06,-2.436128037506561574e-04,-1.214259147244447778e-01,-3.009893932719896625e+01,0.000000000000000000e+00,1.390194077825063043e-05,8.605236397226497186e-04,4.289577825257194776e-01,1.064110728538940407e+02,8.417939050001628856e-03
5.000583577664965626e-03,-7.019730530950124794e-06,-3.800855639885826194e-04,-1.514674451982227499e-01,-2.997710981226159888e+01,0.000000000000000000e+00,2.199154994505265884e-05,1.342686625841164536e-03,5.351928389373917794e-01,1.060342443010268312e+02,1.052242381250219176e-02
6.000700293197959272e-03,-1.020817058776778124e-05,-5.465424320358331202e-04,-1.813871319376666180e-01,-2.985528029732423150e+01,0.000000000000000000e+00,3.205629709068774359e-05,1.930908609391837616e-03,6.410510228144514766e-01,1.056574157481596217e+02,1.262690857500275814e-02
7.000817008730952917e-03,-1.403023698159449531e-05,-7.428615499370169739e-04,-2.111849749427763545e-01,-2.973345078238686412e+01,0.000000000000000000e+00,4.416092641012452742e-05,2.624812673853177923e-03,7.465323341568985693e-01,1.052805871952924122e+02,1.473139333750332278e-02
8.000933724263945696e-03,-1.850255614963019056e-05,-9.689210597367433047e-04,-2.408609742135519316e-01,-2.961162126744950029e+01,0.000000000000000000e+00,5.837018209833165136e-05,3.424021902703692794e-03,8.516367729647329465e-01,1.049037586424252027e+02,1.683587810000388915e-02
9.001050439796938474e-03,-2.364175452907481257e-05,-1.224599103479622267e-03,-2.704151297499934326e-01,-2.948979175251213292e+01,0.000000000000000000e+00,7.474880835027779714e-05,4.328159379421892168e-03,9.563643392379548303e-01,1.045269300895579931e+02,1.894036286250445206e-02
1.000116715532993125e-02,-2.946445855712828826e-05,-1.509773823210263039e-03,-2.998474415521006908e-01,-2.936796223757476554e+01,0.000000000000000000e+00,9.336154936093158546e-05,5.336848187486284249e-03,1.060715032976563776e+00,1.041501015366907978e+02,2.104484762500501496e-02
1.100128387086292577e-02,-3.598729467099055643e-05,-1.824323360973275233e-03,-3.291579096198739562e-01,-2.924613272263739816e+01,0.000000000000000000e+00,1.142731493252617319e-04,6.449711410375379844e-03,1.164688854180560451e+00,1.037732729838235883e+02,2.314933238750558481e-02
1.200140058639591854e-02,-4.322688930786154572e-05,-2.168125858813267810e-03,-3.583465339533129512e-01,-2.912430320770003078e+01,0.000000000000000000e+00,1.375483524382367759e-04,7.666372131567682387e-03,1.268285802849944632e+00,1.033964444309563788e+02,2.525381715000614771e-02
1.300151730192891132e-02,-5.119986890494118475e-05,-2.541059458774850600e-03,-3.874133145524178423e-01,-2.900247369276266340e+01,0.000000000000000000e+00,1.632519028948254737e-04,8.986453434541704852e-03,1.371505878984716098e+00,1.030196158780891693e+02,2.735830191250671062e-02
1.400163401746190583e-02,-5.992285989942943943e-05,-2.943002302902633649e-03,-4.163582514171886295e-01,-2.888064417782529603e+01,0.000000000000000000e+00,1.914485448899964459e-04,1.040957840277595761e-02,1.474349082584874848e+00,1.026427873252219598e+02,2.946278667500727699e-02
1.500175073299489861e-02,-6.941248872852618756e-05,-3.373832533241225701e-03,-4.451813445476252573e-01,-2.875881466288792865e+01,0.000000000000000000e+00,2.222030226187182863e-04,1.193537011974894237e-02,1.576815413650421327e+00,1.022659587723547503e+02,3.156727143750783643e-02
1.600186744852789139e-02,-7.968538182943138827e-05,-3.833428291835235067e-03,-4.738825939437277257e-01,-2.863698514795056127e+01,0.000000000000000000e+00,2.555800802759596426e-04,1.356345166893917382e-02,1.678904872181354646e+00,1.018891302194875408e+02,3.367175620000840280e-02
1.700198416406088417e-02,-9.075816563934498713e-05,-4.321667720729274395e-03,-5.024619996054960902e-01,-2.851515563301319389e+01,0.000000000000000000e+00,2.916444620566893253e-04,1.529344613382515802e-02,1.780617458177675694e+00,1.015123016666203313e+02,3.577624096250896918e-02
1.800210087959387695e-02,-1.026474665954669162e-04,-4.838428961967948527e-03,-5.309195615329302953e-01,-2.839332611807582651e+01,0.000000000000000000e+00,3.304609121558758195e-04,1.712497659788540100e-02,1.881953171639384248e+00,1.011354731137531218e+02,3.788072572500952861e-02
1.900221759512686973e-02,-1.153699111349970938e-04,-5.383590157595871846e-03,-5.592552797260302855e-01,-2.827149660313845914e+01,0.000000000000000000e+00,3.720941747684878274e-04,1.905766614459842093e-02,1.982912012566479865e+00,1.007586445608859123e+02,3.998521048751009499e-02
2.000233431065986250e-02,-1.289421256951354521e-04,-5.957029449657650494e-03,-5.874691541847962828e-01,-2.814966708820109176e+01,0.000000000000000000e+00,4.166089940894939967e-04,2.109113785744271691e-02,2.083493980958962766e+00,1.003818160080187027e+02,4.208969525001065443e-02
2.100245102619285875e-02,-1.433807367130820044e-04,-6.558624980197898420e-03,-6.155611849092281762e-01,-2.802783757326372438e+01,0.000000000000000000e+00,4.640701143138631921e-04,2.322501481989680538e-02,2.183699076816833617e+00,1.000049874551514932e+02,4.419418001251122774e-02
2.200256774172585153e-02,-1.587023706260365201e-04,-7.188254891261218298e-03,-6.435313718993258547e-01,-2.790600805832635700e+01,0.000000000000000000e+00,5.145422796365636819e-04,2.545892011543918546e-02,2.283527300140091754e+00,9.962815890228428373e+01,4.629866477501179411e-02
2.300268445725884431e-02,-1.749236538711990802e-04,-7.845797324892224076e-03,-6.713797151550893183e-01,-2.778417854338898962e+01,0.000000000000000000e+00,5.680902342525642225e-04,2.779247682754837009e-02,2.382978650928737618e+00,9.925133034941707422e+01,4.840314953751235355e-02
2.400280117279183709e-02,-1.920612128857695220e-04,-8.531130423135522764e-03,-6.991062146765186780e-01,-2.766234902845162580e+01,0.000000000000000000e+00,6.247787223568337326e-04,3.022530803970286881e-02,2.482053129182770324e+00,9.887450179654986471e+01,5.050763430001291993e-02
2.500291788832482986e-02,-2.101316741069478452e-04,-9.244132328035727444e-03,-7.267108704636139338e-01,-2.754051951351425842e+01,0.000000000000000000e+00,6.846724881443404806e-04,3.275703683538119110e-02,2.580750734902190313e+00,9.849767324368265520e+01,5.261211906251347936e-02
2.600303460385782264e-02,-2.291516639719339682e-04,-9.984681181637443392e-03,-7.541936825163750857e-01,-2.741868999857689104e+01,0.000000000000000000e+00,7.478362758100533855e-04,3.538728629806184994e-02,2.679071468086997587e+00,9.812084469081544569e+01,5.471660382501404574e-02
2.700315131939081542e-02,-2.491378089179277825e-04,-1.075265512598528456e-02,-7.815546508348021337e-01,-2.729686048363952366e+01,0.000000000000000000e+00,8.143348295489410407e-04,3.811567951122333403e-02,2.777015328737192590e+00,9.774401613794825039e+01,5.682108858751461211e-02
2.800326803492381167e-02,-2.701067353821293691e-04,-1.154793230312385795e-02,-8.087937754188949668e-01,-2.717503096870215629e+01,0.000000000000000000e+00,8.842328935559722568e-04,4.094183955834418409e-02,2.874582316852775321e+00,9.736718758508104088e+01,5.892557335001517849e-02
2.900338475045680445e-02,-2.920750698017384296e-04,-1.237039085509777057e-02,-8.359110562686536960e-01,-2.705320145376478891e+01,0.000000000000000000e+00,9.575952120261153021e-04,4.386538952290288534e-02,2.971772432433744893e+00,9.699035903221383137e+01,6.103005811251574486e-02
