time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,shoulder_torque,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque
1.500226287408998327e-02,5.427104086003165179e-04,6.260557181767277546e-02,4.288832256224480055e+00,1.426397489654185513e+01,-4.420075605509163515e-03,-1.895471017693821369e-03,-2.232177361935633042e-01,-1.534816262986847413e+01,-5.895395360137826657e+01,-3.372842400792992468e-01
1.600241373236264975e-02,6.172291926423694591e-04,6.690214627525031821e-02,4.302981568815781088e+00,1.403038184827603274e+01,-4.714747312543112086e-03,-2.156479749835837727e-03,-2.385975800583564344e-01,-1.540676543085315586e+01,-5.823396960031359271e+01,-3.389019091602629152e-01
1.700256459063531622e-02,6.965064172439986313e-04,7.121275534819376807e-02,4.316897253119373445e+00,1.379678880001021035e+01,-5.009419019577060657e-03,-2.434299716893940924e-03,-2.540356754642273396e-01,-1.546464813922123049e+01,-5.751398559924892595e+01,-3.405195782412266392e-01
1.800271544890798270e-02,7.805361140450844341e-04,7.553716537297068545e-02,4.330579309135255350e+00,1.356319575174438796e+01,-5.304090726611009228e-03,-2.728927519199739974e-03,-2.695313022099274369e-01,-1.552181075497269802e+01,-5.679400159818425209e+01,-3.421372473221903077e-01
1.900286630718064571e-02,8.693123146855073757e-04,7.987514268604853362e-02,4.344027736863427691e+00,1.332960270347856557e+01,-5.598762433644956064e-03,-3.040359757084843025e-03,-2.850837400942081157e-01,-1.557825327810755667e+01,-5.607401759711958533e+01,-3.437549164031539761e-01
2.000301716545331218e-02,9.628290508051481813e-04,8.422645362389494239e-02,4.357242536303890468e+00,1.309600965521274318e+01,-5.893434140678904636e-03,-3.368593030880860824e-03,-3.006922689158210704e-01,-1.563397570862580999e+01,-5.535403359605491147e+01,-3.453725854841176446e-01
2.100316802372597866e-02,1.061080354043886925e-03,8.859086452297740277e-02,4.370223707456643680e+00,1.286241660694691902e+01,-6.188105847712853207e-03,-3.713623940919401518e-03,-3.163561684735175517e-01,-1.568897804652745442e+01,-5.463404959499024471e+01,-3.469902545650813130e-01
2.200331888199864167e-02,1.164060256041603682e-03,9.296814171976340579e-02,4.382971250321688217e+00,1.262882355868109840e+01,-6.482777554746800910e-03,-4.075449087532071954e-03,-3.320747185660490874e-01,-1.574326029181248998e+01,-5.391406559392557085e+01,-3.486079236460449815e-01
2.300346974027130814e-02,1.271762788438180044e-03,9.735805155072053962e-02,4.395485164899021413e+00,1.239523051041527602e+01,-6.777449261780749482e-03,-4.454065071050484180e-03,-3.478471989921671503e-01,-1.579682244448092021e+01,-5.319408159286089699e+01,-3.502255927270087055e-01
2.400362059854397462e-02,1.384181982873495219e-03,1.017603603523163092e-01,4.407765451188645933e+00,1.216163746214945363e+01,-7.072120968814698053e-03,-4.849468491806245042e-03,-3.636728895506232129e-01,-1.584966450453274156e+01,-5.247409759179623023e+01,-3.518432618079723739e-01
2.500377145681664109e-02,1.501311870987430581e-03,1.061748344610182471e-01,4.419812109190561777e+00,1.192804441388362946e+01,-7.366792675848646624e-03,-5.261655950130964855e-03,-3.795510700401688031e-01,-1.590178647196795936e+01,-5.175411359073156348e+01,-3.534609308889360424e-01
2.600392231508930757e-02,1.623146484419865773e-03,1.106012402132938860e-01,4.431625138904767169e+00,1.169445136561780885e+01,-7.661464382882595195e-03,-5.690624046356250465e-03,-3.954810202595552271e-01,-1.595318834678656472e+01,-5.103412958966688961e+01,-3.550785999698997664e-01
2.700407317336197058e-02,1.749679854810681301e-03,1.150393439456107308e-01,4.443204540331262109e+00,1.146085831735198646e+01,-7.956136089916542031e-03,-6.136369380813711319e-03,-4.114620200075340684e-01,-1.600387012898856298e+01,-5.031414558860221575e+01,-3.566962690508634348e-01
2.800422403163463705e-02,1.880906013799758325e-03,1.194889119944363559e-01,4.454550313470048373e+00,1.122726526908616407e+01,-8.250807796950490602e-03,-6.598888553834958599e-03,-4.274933490828567439e-01,-1.605383181857395769e+01,-4.959416158753754900e+01,-3.583139381318271033e-01
2.900437488990730353e-02,2.016818993026976269e-03,1.239497106962382800e-01,4.465662458321125072e+00,1.099367222082033990e+01,-8.545479503984439174e-03,-7.078178165751598284e-03,-4.435742872842747819e-01,-1.610307341554274174e+01,-4.887417758647287513e+01,-3.599316072127907717e-01
3.000452574817996654e-02,2.157412824132216075e-03,1.284215063874839802e-01,4.476540974884493096e+00,1.076007917255451929e+01,-8.840151211018387745e-03,-7.574234816895238954e-03,-4.597041144105395438e-01,-1.615159491989491869e+01,-4.815419358540820838e+01,-3.615492762937544402e-01
